"","Time","Milwaukee","","Score","","Boston"
"101","1:47.0","","","22-24","","J. Tatum enters the game for J. Brown"
"102","1:47.0","","","22-24","","D. Theis enters the game for A. Horford"
"103","1:29.0","","","22-24","","G. Williams misses 2-pt jump shot from 8 ft (block by B. Lopez)"
"104","1:26.0","Defensive rebound by G. Antetokounmpo","","22-24","",""
"105","1:25.0","G. Antetokounmpo misses 2-pt layup from 2 ft","","22-24","",""
"106","1:23.0","","","22-24","","Defensive rebound by D. Theis"
"107","1:11.0","","","22-24","","Turnover by D. White (bad pass; steal by W. Matthews)"
"108","1:07.0","J. Carter makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)","+3","25-24","",""
"109","0:45.0","","","25-24","","P. Pritchard misses 3-pt jump shot from 27 ft"
"110","0:43.0","Defensive rebound by B. Lopez","","25-24","",""
"111","0:32.0","Personal foul by D. Theis (drawn by G. Antetokounmpo)","","25-24","",""
"112","0:31.0","W. Matthews makes 2-pt layup from 4 ft (assist by G. Antetokounmpo)","+2","27-24","",""
"113","0:11.0","","","27-24","","J. Tatum misses 2-pt layup from 4 ft"
"114","0:09.0","Defensive rebound by B. Lopez","","27-24","",""
"115","0:00.0","G. Antetokounmpo misses 2-pt layup from 5 ft (block by D. Theis)","","27-24","",""
"116","0:00.0","Offensive rebound by Team","","27-24","",""
"117","0:00.0","G. Antetokounmpo misses 2-pt jump shot from 14 ft","","27-24","",""
"118","0:00.0","Offensive rebound by Team","","27-24","",""
"119","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"120","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"121","Time","Milwaukee","","Score","","Boston"
"122","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"123","11:40.0","","","27-27","+3","P. Pritchard makes 3-pt jump shot from 26 ft (assist by D. White)"
"124","11:18.0","Shooting foul by D. White (drawn by J. Holiday)","","27-27","",""
"125","11:18.0","J. Holiday makes free throw 1 of 2","+1","28-27","",""
"126","11:18.0","J. Holiday makes free throw 2 of 2","+1","29-27","",""
"127","11:08.0","","","29-27","","D. White misses 2-pt layup from 6 ft"
"128","11:06.0","","","29-27","","Offensive rebound by D. Theis"
"129","11:06.0","","","29-29","+2","D. Theis makes 2-pt layup from 4 ft"
"130","11:00.0","J. Holiday misses 2-pt jump shot from 2 ft","","29-29","",""
"131","10:58.0","","","29-29","","Defensive rebound by D. White"
"132","10:50.0","","","29-29","","Personal foul by B. Lopez (drawn by G. Williams)"
"133","10:42.0","","","29-29","","G. Williams misses 3-pt jump shot from 26 ft"
"134","10:39.0","Defensive rebound by W. Matthews","","29-29","",""
"135","10:28.0","B. Portis misses 2-pt jump shot from 9 ft","","29-29","",""
"136","10:27.0","Offensive rebound by B. Lopez","","29-29","",""
"137","10:27.0","B. Lopez makes 2-pt layup at rim","+2","31-29","",""
"138","10:11.0","","","31-29","","J. Tatum misses 3-pt jump shot from 24 ft"
"139","10:07.0","Defensive rebound by J. Holiday","","31-29","",""
"140","9:51.0","B. Lopez misses 3-pt jump shot from 27 ft","","31-29","",""
"141","9:49.0","","","31-29","","Defensive rebound by D. White"
"142","9:44.0","","","31-32","+3","P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Tatum)"
"143","9:26.0","B. Portis makes 2-pt jump shot from 19 ft (assist by J. Holiday)","+2","33-32","",""
"144","9:21.0","","","33-32","","Offensive foul by D. Theis (drawn by P. Connaughton)"
"145","9:21.0","","","33-32","","Turnover by D. Theis (offensive foul)"
"146","9:21.0","G. Allen enters the game for B. Lopez","","33-32","",""
"147","9:21.0","G. Antetokounmpo enters the game for W. Matthews","","33-32","",""
"148","9:21.0","","","33-32","","J. Brown enters the game for P. Pritchard"
"149","9:21.0","","","33-32","","M. Smart enters the game for D. Theis"
"150","9:21.0","","","33-32","","R. Williams enters the game for D. White"
"151","9:09.0","Personal foul by R. Williams (drawn by G. Antetokounmpo)","","33-32","",""
"152","8:57.0","B. Portis misses 3-pt jump shot from 23 ft","","33-32","",""
"153","8:54.0","","","33-32","","Defensive rebound by R. Williams"
"154","8:42.0","","","33-32","","J. Brown misses 3-pt jump shot from 26 ft"
"155","8:39.0","Defensive rebound by J. Holiday","","33-32","",""
"156","8:32.0","J. Holiday misses 2-pt layup from 3 ft (block by R. Williams)","","33-32","",""
"157","8:30.0","","","33-32","","Defensive rebound by J. Tatum"
"158","8:27.0","","","33-32","","Turnover by J. Tatum (bad pass; steal by G. Allen)"
"159","8:20.0","Turnover by P. Connaughton (traveling)","","33-32","",""
"160","8:10.0","","","33-32","","M. Smart misses 2-pt layup from 3 ft"
"161","8:08.0","Defensive rebound by B. Portis","","33-32","",""
"162","7:51.0","Offensive foul by B. Portis (drawn by M. Smart)","","33-32","",""
"163","7:51.0","Turnover by B. Portis (offensive foul)","","33-32","",""
"164","7:51.0","","","33-32","","A. Horford enters the game for G. Williams"
"165","7:41.0","","","33-32","","J. Brown misses 3-pt jump shot from 25 ft"
"166","7:39.0","Defensive rebound by B. Portis","","33-32","",""
"167","7:26.0","P. Connaughton makes 3-pt jump shot from 23 ft (assist by B. Portis)","+3","36-32","",""
"168","7:09.0","","","36-32","","Offensive foul by J. Brown (drawn by P. Connaughton)"
"169","7:09.0","","","36-32","","Turnover by J. Brown (offensive foul)"
"170","7:09.0","B. Lopez enters the game for J. Holiday","","36-32","",""
"171","7:04.0","G. Antetokounmpo misses 3-pt jump shot from 28 ft","","36-32","",""
"172","7:00.0","","","36-32","","Defensive rebound by A. Horford"
"173","6:54.0","","","36-32","","A. Horford misses 3-pt jump shot from 26 ft"
"174","6:52.0","Defensive rebound by P. Connaughton","","36-32","",""
"175","6:46.0","G. Antetokounmpo misses 2-pt layup from 7 ft","","36-32","",""
"176","6:44.0","","","36-32","","Defensive rebound by M. Smart"
"177","6:40.0","","","36-34","+2","J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart)"
"178","6:38.0","Milwaukee full timeout","","36-34","",""
"179","6:38.0","J. Carter enters the game for P. Connaughton","","36-34","",""
"180","6:38.0","W. Matthews enters the game for B. Portis","","36-34","",""
"181","6:24.0","G. Allen makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)","+3","39-34","",""
"182","6:05.0","","","39-34","","A. Horford misses 3-pt jump shot from 25 ft"
"183","6:02.0","Defensive rebound by J. Carter","","39-34","",""
"184","5:53.0","G. Antetokounmpo misses 2-pt layup from 4 ft","","39-34","",""
"185","5:50.0","","","39-34","","Defensive rebound by J. Tatum"
"186","5:48.0","","","39-34","","Turnover by J. Tatum (bad pass; steal by G. Allen)"
"187","5:46.0","G. Allen misses 3-pt jump shot from 26 ft","","39-34","",""
"188","5:43.0","","","39-34","","Defensive rebound by R. Williams"
"189","5:36.0","","","39-34","","Turnover by J. Brown (lost ball; steal by B. Lopez)"
"190","5:32.0","W. Matthews makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)","+3","42-34","",""
"191","5:31.0","","","42-34","","Boston full timeout"
"192","5:12.0","","","42-34","","M. Smart misses 3-pt jump shot from 26 ft"
"193","5:08.0","","","42-34","","Offensive rebound by J. Brown"
"194","5:02.0","","","42-37","+3","J. Brown makes 3-pt jump shot from 25 ft (assist by M. Smart)"
"195","4:42.0","J. Carter misses 3-pt jump shot from 25 ft","","42-37","",""
"196","4:40.0","","","42-37","","Defensive rebound by J. Brown"
"197","4:32.0","","","42-37","","Turnover by J. Brown (bad pass; steal by J. Carter)"
"198","4:27.0","G. Allen makes 3-pt jump shot from 26 ft (assist by W. Matthews)","+3","45-37","",""
"199","4:10.0","","","45-40","+3","J. Tatum makes 3-pt jump shot from 26 ft"
"200","3:53.0","Personal foul by M. Smart (drawn by G. Allen)","","45-40","",""
"201","3:53.0","J. Holiday enters the game for G. Antetokounmpo","","45-40","",""
"202","3:53.0","","","45-40","","G. Williams enters the game for R. Williams"
"203","3:43.0","J. Holiday misses 2-pt jump shot from 17 ft","","45-40","",""
"204","3:41.0","","","45-40","","Defensive rebound by A. Horford"
"205","3:34.0","","","45-43","+3","A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart)"
"206","3:12.0","Personal foul by G. Williams (drawn by J. Holiday)","","45-43","",""
"207","3:12.0","G. Antetokounmpo enters the game for B. Lopez","","45-43","",""
"208","3:12.0","B. Portis enters the game for W. Matthews","","45-43","",""
"209","3:03.0","G. Allen makes 3-pt jump shot from 32 ft (assist by G. Antetokounmpo)","+3","48-43","",""
"210","2:39.0","","","48-43","","J. Tatum misses 3-pt jump shot from 26 ft"
"211","2:36.0","Defensive rebound by G. Antetokounmpo","","48-43","",""
"212","2:30.0","G. Antetokounmpo makes 2-pt layup from 4 ft (assist by J. Holiday)","+2","50-43","",""
"213","2:15.0","","","50-46","+3","J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Brown)"
"214","1:56.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","50-46","",""
"215","1:56.0","G. Antetokounmpo makes free throw 1 of 2","+1","51-46","",""
"216","1:56.0","P. Connaughton enters the game for G. Allen","","51-46","",""
"217","1:56.0","G. Antetokounmpo makes free throw 2 of 2","+1","52-46","",""
"218","1:43.0","","","52-46","","M. Smart misses 3-pt jump shot from 25 ft"
"219","1:41.0","Defensive rebound by B. Portis","","52-46","",""
"220","1:28.0","G. Antetokounmpo makes 2-pt jump shot from 18 ft","+2","54-46","",""
"221","1:12.0","","","54-46","","Personal foul by P. Connaughton (drawn by M. Smart)"
"222","1:12.0","G. Allen enters the game for P. Connaughton","","54-46","",""
"223","1:12.0","W. Matthews enters the game for J. Holiday","","54-46","",""
"224","1:12.0","","","54-46","","P. Pritchard enters the game for M. Smart"
"225","1:02.0","","","54-46","","J. Brown misses 2-pt jump shot from 16 ft"
"226","0:59.0","","","54-46","","Offensive rebound by P. Pritchard"
"227","0:48.0","","","54-46","","J. Tatum misses 2-pt layup from 6 ft (block by G. Antetokounmpo)"
"228","0:46.0","Defensive rebound by G. Allen","","54-46","",""
"229","0:43.0","W. Matthews misses 3-pt jump shot from 23 ft","","54-46","",""
"230","0:40.0","","","54-46","","Defensive rebound by P. Pritchard"
"231","0:39.0","","","54-46","","J. Brown misses 3-pt jump shot from 25 ft"
"232","0:37.0","Defensive rebound by G. Antetokounmpo","","54-46","",""
"233","0:28.0","Shooting foul by G. Williams (drawn by G. Antetokounmpo)","","54-46","",""
"234","0:28.0","G. Antetokounmpo makes free throw 1 of 2","+1","55-46","",""
"235","0:28.0","P. Connaughton enters the game for G. Allen","","55-46","",""
"236","0:28.0","B. Lopez enters the game for B. Portis","","55-46","",""
"237","0:28.0","G. Antetokounmpo makes free throw 2 of 2","+1","56-46","",""
"238","0:07.0","","","56-46","","P. Pritchard misses 3-pt jump shot from 25 ft"
"239","0:04.0","Defensive rebound by G. Antetokounmpo","","56-46","",""
"240","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"241","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"242","Time","Milwaukee","","Score","","Boston"
"243","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"244","11:43.0","","","56-46","","J. Brown misses 3-pt jump shot from 26 ft"
"245","11:40.0","Defensive rebound by B. Lopez","","56-46","",""
"246","11:31.0","Turnover by G. Antetokounmpo (bad pass; steal by A. Horford)","","56-46","",""
"247","11:22.0","","","56-46","","M. Smart misses 3-pt jump shot from 27 ft"
"248","11:19.0","Defensive rebound by B. Lopez","","56-46","",""
"249","11:10.0","J. Holiday misses 3-pt jump shot from 24 ft","","56-46","",""
"250","11:05.0","","","56-46","","Defensive rebound by A. Horford"
"251","10:59.0","","","56-46","","M. Smart misses 2-pt layup from 3 ft"
"252","10:57.0","Defensive rebound by B. Portis","","56-46","",""
"253","10:47.0","Turnover by J. Holiday (bad pass; steal by R. Williams)","","56-46","",""
"254","10:36.0","","","56-46","","R. Williams misses 2-pt dunk from 1 ft (block by B. Lopez)"
"255","10:33.0","Defensive rebound by B. Portis","","56-46","",""
"256","10:26.0","B. Portis makes 2-pt hook shot from 6 ft","+2","58-46","",""
"257","10:00.0","","","58-49","+3","J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart)"
"258","9:48.0","Personal foul by M. Smart (drawn by J. Holiday)","","58-49","",""
"259","9:42.0","G. Antetokounmpo misses 2-pt hook shot from 9 ft","","58-49","",""
"260","9:39.0","","","58-49","","Defensive rebound by A. Horford"
"261","9:36.0","","","58-49","","Personal foul by G. Antetokounmpo (drawn by A. Horford)"
"262","9:32.0","","","58-52","+3","J. Tatum makes 3-pt jump shot from 26 ft"
"263","9:16.0","Shooting foul by R. Williams (drawn by G. Antetokounmpo)","","58-52","",""
"264","9:16.0","G. Antetokounmpo misses free throw 1 of 2","","58-52","",""
"265","9:16.0","Offensive rebound by Team","","58-52","",""
"266","9:16.0","G. Antetokounmpo makes free throw 2 of 2","+1","59-52","",""
"267","9:07.0","","","59-54","+2","R. Williams makes 2-pt dunk from 2 ft (assist by J. Tatum)"
"268","8:55.0","J. Holiday makes 2-pt jump shot from 22 ft (assist by G. Antetokounmpo)","+2","61-54","",""
"269","8:55.0","Instant Replay (Request: Ruling Stands)","","61-54","",""
"270","8:39.0","","","61-54","","Turnover by M. Smart (lost ball; steal by J. Holiday)"
"271","8:35.0","B. Portis makes 2-pt jump shot from 21 ft (assist by W. Matthews)","+2","63-54","",""
"272","8:24.0","","","63-54","","Personal foul by W. Matthews (drawn by J. Tatum)"
"273","8:14.0","","","63-54","","M. Smart misses 3-pt jump shot from 27 ft"
"274","8:11.0","Defensive rebound by Team","","63-54","",""
"275","7:58.0","Shooting foul by J. Brown (drawn by B. Portis)","","63-54","",""
"276","7:58.0","B. Portis misses free throw 1 of 2","","63-54","",""
"277","7:58.0","Offensive rebound by Team","","63-54","",""
"278","7:58.0","B. Portis makes free throw 2 of 2","+1","64-54","",""
"279","7:53.0","","","64-54","","Offensive foul by A. Horford (drawn by W. Matthews)"
"280","7:53.0","","","64-54","","Turnover by A. Horford (offensive foul)"
"281","7:38.0","W. Matthews misses 3-pt jump shot from 24 ft","","64-54","",""
"282","7:36.0","Offensive rebound by B. Lopez","","64-54","",""
"283","7:31.0","G. Antetokounmpo misses 2-pt layup from 3 ft","","64-54","",""
"284","7:28.0","","","64-54","","Defensive rebound by J. Brown"
"285","7:25.0","","","64-56","+2","M. Smart makes 2-pt layup from 3 ft (assist by J. Brown)"
"286","7:12.0","G. Antetokounmpo misses 3-pt jump shot from 25 ft","","64-56","",""
"287","7:10.0","","","64-56","","Defensive rebound by A. Horford"
"288","7:02.0","","","64-56","","Boston full timeout"
"289","7:02.0","G. Allen enters the game for W. Matthews","","64-56","",""
"290","6:52.0","","","64-56","","Turnover by J. Brown (lost ball; steal by G. Allen)"
"291","6:41.0","G. Allen makes 2-pt jump shot from 12 ft","+2","66-56","",""
"292","6:33.0","","","66-56","","Offensive foul by M. Smart (drawn by G. Allen)"
"293","6:33.0","","","66-56","","Turnover by M. Smart (offensive foul)"
"294","6:21.0","G. Antetokounmpo misses 2-pt layup from 3 ft (block by A. Horford)","","66-56","",""
"295","6:18.0","Offensive rebound by G. Antetokounmpo","","66-56","",""
"296","6:16.0","B. Portis misses 3-pt jump shot from 26 ft","","66-56","",""
"297","6:13.0","","","66-56","","Defensive rebound by A. Horford"
"298","6:06.0","","","66-56","","Personal foul by B. Portis (drawn by J. Brown)"
"299","6:06.0","P. Connaughton enters the game for G. Antetokounmpo","","66-56","",""
"300","6:01.0","","","66-56","","Shooting foul by P. Connaughton (drawn by M. Smart)"
"301","6:01.0","","","66-57","+1","M. Smart makes free throw 1 of 2"
"302","6:01.0","","","66-57","","M. Smart misses free throw 2 of 2"
"303","6:01.0","Defensive rebound by B. Portis","","66-57","",""
"304","5:48.0","G. Allen misses 2-pt layup from 4 ft (block by R. Williams)","","66-57","",""
"305","5:45.0","Offensive rebound by Team","","66-57","",""
"306","5:45.0","","","66-57","","D. White enters the game for J. Brown"
"307","5:45.0","","","66-57","","G. Williams enters the game for R. Williams"
"308","5:42.0","B. Lopez makes 2-pt layup from 2 ft (assist by J. Holiday)","+2","68-57","",""
"309","5:29.0","","","68-60","+3","D. White makes 3-pt jump shot from 23 ft (assist by A. Horford)"
"310","5:16.0","J. Holiday misses 2-pt jump shot from 7 ft","","68-60","",""
"311","5:14.0","","","68-60","","Defensive rebound by G. Williams"
"312","5:08.0","","","68-60","","Shooting foul by B. Portis (drawn by G. Williams)"
"313","5:08.0","","","68-61","+1","G. Williams makes free throw 1 of 2"
"314","5:08.0","G. Antetokounmpo enters the game for B. Portis","","68-61","",""
"315","5:08.0","","","68-62","+1","G. Williams makes free throw 2 of 2"
"316","4:48.0","Offensive foul by P. Connaughton (drawn by M. Smart)","","68-62","",""
"317","4:48.0","Turnover by P. Connaughton (offensive foul)","","68-62","",""
"318","4:38.0","","","68-62","","J. Tatum misses 2-pt layup from 6 ft (block by G. Antetokounmpo)"
"319","4:36.0","","","68-62","","Offensive rebound by Team"
"320","4:31.0","","","68-62","","J. Tatum misses 3-pt jump shot from 27 ft"
"321","4:28.0","Defensive rebound by J. Holiday","","68-62","",""
"322","4:19.0","G. Antetokounmpo misses 2-pt jump shot from 10 ft","","68-62","",""
"323","4:17.0","Offensive rebound by Team","","68-62","",""
"324","4:17.0","","","68-62","","Loose ball foul by D. White (drawn by B. Lopez)"
"325","4:17.0","Milwaukee full timeout","","68-62","",""
"326","4:04.0","G. Antetokounmpo makes 2-pt layup from 4 ft (assist by G. Allen)","+2","70-62","",""
"327","4:04.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","70-62","",""
"328","4:04.0","G. Antetokounmpo misses free throw 1 of 1","","70-62","",""
"329","4:03.0","","","70-62","","Defensive rebound by Team"
"330","4:03.0","Loose ball foul by G. Antetokounmpo (drawn by D. White)","","70-62","",""
"331","4:03.0","","","70-63","+1","D. White makes free throw 1 of 2"
"332","4:03.0","J. Carter enters the game for B. Lopez","","70-63","",""
"333","4:03.0","","","70-64","+1","D. White makes free throw 2 of 2"
"334","3:52.0","J. Holiday makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo)","+2","72-64","",""
"335","3:37.0","","","72-64","","Personal foul by G. Antetokounmpo (drawn by J. Tatum)"
"336","3:37.0","","","72-65","+1","J. Tatum makes free throw 1 of 2"
"337","3:37.0","B. Lopez enters the game for G. Antetokounmpo","","72-65","",""
"338","3:37.0","","","72-66","+1","J. Tatum makes free throw 2 of 2"
"339","3:20.0","G. Allen misses 3-pt jump shot from 25 ft","","72-66","",""
"340","3:17.0","","","72-66","","Defensive rebound by D. White"
"341","3:07.0","","","72-66","","Turnover by M. Smart (bad pass; steal by P. Connaughton)"
"342","3:01.0","J. Holiday makes 2-pt jump shot from 15 ft","+2","74-66","",""
"343","2:36.0","","","74-66","","A. Horford misses 3-pt jump shot from 26 ft"
"344","2:33.0","Defensive rebound by B. Lopez","","74-66","",""
"345","2:26.0","P. Connaughton misses 3-pt jump shot from 25 ft","","74-66","",""
"346","2:24.0","","","74-66","","Defensive rebound by D. White"
"347","2:16.0","","","74-66","","J. Tatum misses 2-pt layup from 4 ft (block by B. Lopez)"
"348","2:14.0","Defensive rebound by J. Holiday","","74-66","",""
"349","2:12.0","G. Allen misses 3-pt jump shot from 23 ft","","74-66","",""
"350","2:10.0","Offensive rebound by Team","","74-66","",""
"351","2:10.0","","","74-66","","Boston full timeout"
"352","2:10.0","","","74-66","","Instant Replay (Challenge: Ruling Stands)"
