"","Time","Denver","","Score","","Golden State"
"2","12:00.0","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)"
"3","11:45.0","","","0-0","","S. Curry misses 2-pt layup from 7 ft"
"4","11:43.0","Defensive rebound by N. Jokic","","0-0","",""
"5","11:40.0","Shooting foul by D. Green (drawn by A. Gordon)","","0-0","",""
"6","11:40.0","A. Gordon misses free throw 1 of 2","","0-0","",""
"7","11:40.0","Offensive rebound by Team","","0-0","",""
"8","11:40.0","A. Gordon makes free throw 2 of 2","+1","1-0","",""
"9","11:19.0","","","1-2","+2","K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Curry)"
"10","10:56.0","N. Jokic misses 2-pt hook shot from 9 ft","","1-2","",""
"11","10:55.0","Offensive rebound by A. Gordon","","1-2","",""
"12","10:54.0","A. Gordon makes 2-pt layup at rim","+2","3-2","",""
"13","10:43.0","","","3-5","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Poole)"
"14","10:19.0","N. Jokic makes 2-pt layup from 5 ft","+2","5-5","",""
"15","10:08.0","","","5-8","+3","S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green)"
"16","9:54.0","J. Green misses 2-pt layup from 5 ft (block by A. Wiggins)","","5-8","",""
"17","9:52.0","","","5-8","","Defensive rebound by S. Curry"
"18","9:48.0","","","5-8","","Turnover by A. Wiggins (bad pass; steal by N. Jokic)"
"19","9:41.0","Shooting foul by A. Wiggins (drawn by A. Gordon)","","5-8","",""
"20","9:41.0","A. Gordon misses free throw 1 of 2","","5-8","",""
"21","9:41.0","Offensive rebound by Team","","5-8","",""
"22","9:41.0","A. Gordon makes free throw 2 of 2","+1","6-8","",""
"23","9:29.0","","","6-8","","S. Curry misses 3-pt jump shot from 24 ft"
"24","9:27.0","Defensive rebound by N. Jokic","","6-8","",""
"25","9:20.0","Shooting foul by K. Thompson (drawn by A. Gordon)","","6-8","",""
"26","9:20.0","A. Gordon makes free throw 1 of 2","+1","7-8","",""
"27","9:20.0","A. Gordon misses free throw 2 of 2","","7-8","",""
"28","9:18.0","","","7-8","","Defensive rebound by K. Thompson"
"29","9:00.0","","","7-10","+2","D. Green makes 2-pt dunk from 4 ft (assist by K. Thompson)"
"30","8:47.0","W. Barton misses 3-pt jump shot from 26 ft","","7-10","",""
"31","8:44.0","Offensive rebound by N. Jokic","","7-10","",""
"32","8:33.0","N. Jokic makes 2-pt jump shot from 8 ft (assist by M. Morris)","+2","9-10","",""
"33","8:22.0","Violation by Team (kicked ball)","","9-10","",""
"34","8:22.0","","","9-10","","K. Looney enters the game for J. Poole"
