"","Time","Denver","","Score","","Golden State"
"358","0:26.0","","","79-101","+2","N. Bjelica makes 2-pt layup from 5 ft (assist by J. Poole)"
"359","0:18.0","Personal foul by N. Bjelica (drawn by B. Hyland)","","79-101","",""
"360","0:18.0","B. Hyland makes free throw 1 of 2","+1","80-101","",""
"361","0:18.0","B. Hyland makes free throw 2 of 2","+1","81-101","",""
"362","0:18.0","","","81-101","","K. Thompson enters the game for G. Payton"
"363","0:01.0","","","81-101","","O. Porter misses 3-pt jump shot from 26 ft"
"364","0:00.0","","","81-101","","Offensive rebound by Team"
"365","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"366","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"367","Time","Denver","","Score","","Golden State"
"368","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"369","11:50.0","Offensive foul by D. Cousins (drawn by J. Poole)","","81-101","",""
"370","11:50.0","Turnover by D. Cousins (offensive foul)","","81-101","",""
"371","11:40.0","","","81-101","","Personal foul by A. Rivers (drawn by J. Poole)"
"372","11:31.0","","","81-101","","J. Poole misses 3-pt jump shot from 23 ft"
"373","11:28.0","","","81-101","","Offensive rebound by Team"
"374","11:27.0","","","81-104","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by G. Payton)"
"375","11:04.0","A. Rivers makes 3-pt jump shot from 27 ft (assist by B. Hyland)","+3","84-104","",""
"376","10:40.0","","","84-104","","O. Porter misses 3-pt jump shot from 27 ft"
"377","10:38.0","Defensive rebound by D. Cousins","","84-104","",""
"378","10:28.0","B. Hyland makes 3-pt jump shot from 30 ft (assist by J. Green)","+3","87-104","",""
"379","10:09.0","","","87-106","+2","J. Poole makes 2-pt layup from 5 ft"
"380","9:51.0","Turnover by D. Cousins (lost ball; steal by J. Poole)","","87-106","",""
"381","9:43.0","","","87-106","","K. Thompson misses 2-pt jump shot from 10 ft"
"382","9:40.0","","","87-106","","Offensive rebound by G. Payton"
"383","9:40.0","","","87-106","","Shooting foul by B. Hyland (drawn by G. Payton)"
"384","9:40.0","","","87-107","+1","G. Payton makes free throw 1 of 2"
"385","9:40.0","","","87-107","","G. Payton misses free throw 2 of 2"
"386","9:37.0","Defensive rebound by J. Green","","87-107","",""
"387","9:25.0","J. Green misses 3-pt jump shot from 28 ft","","87-107","",""
"388","9:23.0","","","87-107","","Defensive rebound by G. Payton"
"389","9:15.0","","","87-107","","Turnover by J. Poole (lost ball; steal by D. Cousins)"
"390","9:12.0","A. Rivers makes 2-pt layup from 5 ft","+2","89-107","",""
"391","9:01.0","","","89-107","","Golden State full timeout"
"392","9:01.0","N. Jokic enters the game for D. Cousins","","89-107","",""
"393","9:01.0","","","89-107","","S. Curry enters the game for J. Poole"
"394","8:56.0","","","89-107","","Shooting foul by A. Rivers (drawn by G. Payton)"
"395","8:56.0","","","89-108","+1","G. Payton makes free throw 1 of 2"
"396","8:56.0","","","89-108","","D. Green enters the game for O. Porter"
"397","8:56.0","","","89-109","+1","G. Payton makes free throw 2 of 2"
"398","8:34.0","N. Jokic misses 3-pt jump shot from 29 ft","","89-109","",""
"399","8:32.0","","","89-109","","Defensive rebound by G. Payton"
"400","8:16.0","","","89-109","","S. Curry misses 3-pt jump shot from 24 ft"
"401","8:14.0","Defensive rebound by J. Green","","89-109","",""
"402","8:10.0","Personal take foul by D. Green (drawn by B. Forbes)","","89-109","",""
"403","8:10.0","M. Morris enters the game for B. Hyland","","89-109","",""
"404","8:06.0","Personal foul by K. Thompson (drawn by B. Forbes)","","89-109","",""
"405","8:05.0","Offensive foul by N. Jokic (drawn by D. Green)","","89-109","",""
"406","8:05.0","Turnover by N. Jokic (offensive foul)","","89-109","",""
"407","7:53.0","Violation by Team (kicked ball)","","89-109","",""
"408","7:48.0","","","89-109","","K. Thompson misses 2-pt layup from 7 ft (block by N. Jokic)"
"409","7:47.0","","","89-109","","Offensive rebound by Team"
"410","7:47.0","W. Barton enters the game for J. Green","","89-109","",""
"411","7:42.0","","","89-109","","K. Thompson misses 3-pt jump shot from 26 ft"
"412","7:40.0","Defensive rebound by M. Morris","","89-109","",""
"413","7:34.0","Personal foul by G. Payton (drawn by N. Jokic)","","89-109","",""
"414","7:34.0","","","89-109","","A. Wiggins enters the game for N. Bjelica"
"415","7:21.0","Turnover by N. Jokic (bad pass; steal by D. Green)","","89-109","",""
"416","7:14.0","","","89-109","","S. Curry misses 3-pt jump shot from 25 ft"
"417","7:12.0","Defensive rebound by N. Jokic","","89-109","",""
"418","7:01.0","N. Jokic misses 2-pt hook shot from 7 ft","","89-109","",""
"419","7:00.0","","","89-109","","Defensive rebound by K. Thompson"
"420","7:00.0","Technical foul by N. Jokic","","89-109","",""
"421","7:00.0","N. Jokic ejected from game","","89-109","",""
"422","7:00.0","","","89-110","+1","S. Curry makes technical free throw"
"423","7:00.0","A. Gordon enters the game for N. Jokic","","89-110","",""
"424","6:45.0","","","89-112","+2","S. Curry makes 2-pt layup from 4 ft"
"425","6:29.0","B. Forbes makes 3-pt jump shot from 28 ft (assist by A. Gordon)","+3","92-112","",""
"426","6:05.0","","","92-114","+2","D. Green makes 2-pt layup from 8 ft (assist by S. Curry)"
"427","5:53.0","Personal foul by S. Curry (drawn by B. Forbes)","","92-114","",""
"428","5:53.0","F. Campazzo enters the game for A. Rivers","","92-114","",""
"429","5:53.0","","","92-114","","J. Poole enters the game for G. Payton"
"430","5:42.0","A. Gordon makes 2-pt dunk from 6 ft (assist by B. Forbes)","+2","94-114","",""
"431","5:18.0","","","94-116","+2","S. Curry makes 2-pt jump shot from 17 ft"
"432","5:03.0","Shooting foul by K. Thompson (drawn by B. Forbes)","","94-116","",""
"433","5:03.0","B. Forbes makes free throw 1 of 2","+1","95-116","",""
"434","5:03.0","B. Forbes makes free throw 2 of 2","+1","96-116","",""
"435","4:49.0","","","96-119","+3","S. Curry makes 3-pt jump shot from 29 ft"
"436","4:46.0","Denver full timeout","","96-119","",""
"437","4:46.0","V. Cancar enters the game for W. Barton","","96-119","",""
"438","4:46.0","Z. Nnaji enters the game for A. Gordon","","96-119","",""
"439","4:46.0","A. Rivers enters the game for M. Morris","","96-119","",""
"440","4:46.0","","","96-119","","J. Kuminga enters the game for S. Curry"
"441","4:46.0","","","96-119","","D. Lee enters the game for D. Green"
"442","4:46.0","","","96-119","","M. Moody enters the game for K. Thompson"
"443","4:46.0","","","96-119","","J. Toscano-Anderson enters the game for A. Wiggins"
"444","4:33.0","B. Forbes makes 3-pt jump shot from 23 ft","+3","99-119","",""
"445","4:16.0","","","99-119","","J. Poole misses 3-pt jump shot from 28 ft"
"446","4:13.0","","","99-119","","Offensive rebound by M. Moody"
"447","4:11.0","","","99-119","","M. Moody misses 2-pt jump shot from 10 ft"
"448","4:08.0","Defensive rebound by F. Campazzo","","99-119","",""
"449","3:51.0","A. Rivers makes 2-pt jump shot from 9 ft","+2","101-119","",""
"450","3:22.0","","","101-119","","Turnover by J. Kuminga (step out of bounds)"
"451","3:11.0","F. Campazzo misses 3-pt jump shot from 30 ft","","101-119","",""
"452","3:08.0","","","101-119","","Defensive rebound by J. Poole"
"453","3:01.0","","","101-119","","Personal foul by F. Campazzo (drawn by J. Toscano-Anderson)"
"454","3:01.0","","","101-119","","G. Payton enters the game for J. Poole"
"455","2:56.0","","","101-119","","D. Lee misses 3-pt jump shot from 24 ft"
"456","2:53.0","Defensive rebound by F. Campazzo","","101-119","",""
"457","2:36.0","V. Cancar misses 3-pt jump shot from 28 ft","","101-119","",""
"458","2:34.0","","","101-119","","Defensive rebound by G. Payton"
"459","2:25.0","","","101-119","","Turnover by J. Kuminga (bad pass)"
"460","2:11.0","Turnover by F. Campazzo (bad pass; steal by J. Toscano-Anderson)","","101-119","",""
"461","2:11.0","","","101-119","","Personal take foul by F. Campazzo (drawn by J. Toscano-Anderson)"
"462","2:11.0","","","101-120","+1","J. Toscano-Anderson makes free throw 1 of 2"
"463","2:11.0","","","101-120","","J. Toscano-Anderson misses free throw 2 of 2"
"464","2:09.0","Defensive rebound by V. Cancar","","101-120","",""
"465","1:54.0","B. Forbes misses 3-pt jump shot from 30 ft","","101-120","",""
"466","1:52.0","","","101-120","","Defensive rebound by J. Toscano-Anderson"
"467","1:41.0","","","101-120","","Personal foul by Z. Nnaji (drawn by D. Lee)"
"468","1:41.0","","","101-121","+1","D. Lee makes free throw 1 of 2"
"469","1:41.0","","","101-122","+1","D. Lee makes free throw 2 of 2"
"470","1:32.0","V. Cancar makes 3-pt jump shot from 27 ft (assist by F. Campazzo)","+3","104-122","",""
"471","1:18.0","","","104-124","+2","D. Lee makes 2-pt layup from 6 ft (assist by J. Toscano-Anderson)"
"472","1:05.0","Turnover by V. Cancar (lost ball; steal by J. Kuminga)","","104-124","",""
"473","1:03.0","","","104-126","+2","J. Toscano-Anderson makes 2-pt layup from 5 ft"
"474","0:44.0","V. Cancar makes 2-pt jump shot from 8 ft","+2","106-126","",""
"475","0:29.0","","","106-126","","Turnover by M. Moody (traveling)"
"476","0:23.0","F. Campazzo misses 3-pt jump shot from 26 ft","","106-126","",""
"477","0:20.0","","","106-126","","Defensive rebound by G. Payton"
"478","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
