"","Time","Denver","","Score","","Golden State"
"81","3:06.0","","","24-15","","N. Bjelica misses 3-pt jump shot from 27 ft"
"82","3:03.0","Defensive rebound by J. Green","","24-15","",""
"83","2:53.0","J. Green misses 2-pt layup from 5 ft (block by S. Curry)","","24-15","",""
"84","2:52.0","Offensive rebound by Team","","24-15","",""
"85","2:52.0","Denver full timeout","","24-15","",""
"86","2:52.0","B. Forbes enters the game for W. Barton","","24-15","",""
"87","2:42.0","N. Jokic makes 2-pt hook shot from 7 ft (assist by A. Rivers)","+2","26-15","",""
"88","2:28.0","","","26-18","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by A. Wiggins)"
"89","2:14.0","B. Hyland misses 2-pt jump shot from 18 ft","","26-18","",""
"90","2:12.0","Offensive rebound by N. Jokic","","26-18","",""
"91","2:09.0","N. Jokic misses 2-pt layup from 4 ft (block by G. Payton)","","26-18","",""
"92","2:07.0","","","26-18","","Defensive rebound by O. Porter"
"93","2:02.0","","","26-21","+3","O. Porter makes 3-pt jump shot from 26 ft (assist by A. Wiggins)"
"94","1:59.0","Denver full timeout","","26-21","",""
"95","1:59.0","","","26-21","","J. Poole enters the game for A. Wiggins"
"96","1:59.0","Instant Replay","","26-21","",""
"97","1:44.0","Turnover by B. Hyland (bad pass; steal by G. Payton)","","26-21","",""
"98","1:35.0","","","26-23","+2","J. Poole makes 2-pt jump shot from 18 ft"
"99","1:16.0","B. Forbes misses 3-pt jump shot from 28 ft","","26-23","",""
"100","1:13.0","","","26-23","","Defensive rebound by N. Bjelica"
"101","1:07.0","","","26-23","","Turnover by S. Curry (bad pass)"
"102","1:07.0","D. Cousins enters the game for N. Jokic","","26-23","",""
"103","0:52.0","J. Green misses 3-pt jump shot from 26 ft","","26-23","",""
"104","0:49.0","","","26-23","","Defensive rebound by N. Bjelica"
"105","0:35.0","","","26-23","","O. Porter misses 2-pt jump shot from 17 ft"
"106","0:32.0","","","26-23","","Offensive rebound by O. Porter"
"107","0:30.0","","","26-25","+2","N. Bjelica makes 2-pt layup from 6 ft (assist by O. Porter)"
"108","0:22.0","Offensive foul by B. Forbes (drawn by J. Poole)","","26-25","",""
"109","0:22.0","Turnover by B. Forbes (offensive foul)","","26-25","",""
"110","0:22.0","A. Gordon enters the game for D. Cousins","","26-25","",""
"111","0:22.0","J. Green enters the game for B. Forbes","","26-25","",""
"112","0:22.0","","","26-25","","K. Thompson enters the game for G. Payton"
"113","0:02.0","","","26-25","","S. Curry misses 3-pt jump shot from 28 ft"
"114","0:01.0","Defensive rebound by J. Green","","26-25","",""
"115","0:00.0","J. Green misses 3-pt jump shot from 75 ft","","26-25","",""
"116","0:00.0","Offensive rebound by Team","","26-25","",""
"117","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"118","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"119","Time","Denver","","Score","","Golden State"
"120","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"121","11:48.0","","","26-25","","G. Payton misses 2-pt dunk from 6 ft (block by J. Green)"
"122","11:47.0","Defensive rebound by Team","","26-25","",""
"123","11:45.0","Jump ball: J. Green vs. G. Payton (A. Rivers gains possession)","Jump ball: J. Green vs. G. Payton (A. Rivers gains possession)","Jump ball: J. Green vs. G. Payton (A. Rivers gains possession)","Jump ball: J. Green vs. G. Payton (A. Rivers gains possession)","Jump ball: J. Green vs. G. Payton (A. Rivers gains possession)"
"124","11:31.0","Shooting foul by K. Thompson (drawn by D. Cousins)","","26-25","",""
"125","11:31.0","D. Cousins makes free throw 1 of 2","+1","27-25","",""
"126","11:31.0","D. Cousins misses free throw 2 of 2","","27-25","",""
"127","11:29.0","Offensive rebound by J. Green","","27-25","",""
"128","11:29.0","Shooting foul by O. Porter (drawn by J. Green)","","27-25","",""
"129","11:29.0","J. Green makes free throw 1 of 2","+1","28-25","",""
"130","11:29.0","J. Green makes free throw 2 of 2","+1","29-25","",""
"131","11:07.0","","","29-25","","O. Porter misses 3-pt jump shot from 25 ft"
"132","11:02.0","Defensive rebound by Team","","29-25","",""
"133","10:49.0","A. Rivers misses 3-pt jump shot from 24 ft","","29-25","",""
"134","10:46.0","","","29-25","","Defensive rebound by J. Poole"
"135","10:41.0","","","29-27","+2","K. Thompson makes 2-pt jump shot from 10 ft"
"136","10:20.0","A. Rivers misses 2-pt jump shot from 9 ft (block by G. Payton)","","29-27","",""
"137","10:17.0","","","29-27","","Defensive rebound by J. Poole"
"138","10:05.0","","","29-29","+2","K. Thompson makes 2-pt jump shot from 18 ft (assist by N. Bjelica)"
"139","10:04.0","Denver full timeout","","29-29","",""
"140","10:04.0","W. Barton enters the game for A. Rivers","","29-29","",""
"141","9:50.0","D. Cousins makes 3-pt jump shot from 26 ft (assist by B. Forbes)","+3","32-29","",""
"142","9:26.0","","","32-29","","K. Thompson misses 2-pt jump shot from 13 ft"
"143","9:24.0","Defensive rebound by B. Forbes","","32-29","",""
"144","9:15.0","D. Cousins makes 2-pt layup from 5 ft (assist by W. Barton)","+2","34-29","",""
"145","9:01.0","","","34-31","+2","N. Bjelica makes 2-pt layup from 7 ft (assist by J. Poole)"
"146","8:50.0","M. Morris makes 3-pt jump shot from 26 ft","+3","37-31","",""
"147","8:48.0","","","37-31","","Golden State full timeout"
"148","8:35.0","","","37-31","","J. Poole misses 2-pt layup from 6 ft"
"149","8:33.0","Defensive rebound by D. Cousins","","37-31","",""
