"","Time","Golden State","","Score","","Denver"
"68","3:26.0","S. Curry misses 3-pt jump shot from 30 ft","","27-22","",""
"69","3:25.0","","","27-22","","Defensive rebound by Team"
"70","3:13.0","","","27-22","","B. Hyland misses 2-pt jump shot from 20 ft"
"71","3:10.0","Defensive rebound by G. Payton","","27-22","",""
"72","2:57.0","O. Porter misses 3-pt jump shot from 26 ft","","27-22","",""
"73","2:53.0","Offensive rebound by G. Payton","","27-22","",""
"74","2:46.0","J. Poole makes 2-pt layup from 2 ft (assist by D. Green)","+2","29-22","",""
"75","2:46.0","Shooting foul by J. Green (drawn by J. Poole)","","29-22","",""
"76","2:46.0","J. Poole makes free throw 1 of 1","+1","30-22","",""
"77","2:31.0","","","30-22","","B. Hyland misses 3-pt jump shot from 27 ft"
"78","2:29.0","","","30-22","","Offensive rebound by N. Jokic"
"79","2:27.0","","","30-24","+2","N. Jokic makes 2-pt layup from 2 ft"
"80","2:12.0","O. Porter misses 3-pt jump shot from 24 ft","","30-24","",""
"81","2:09.0","","","30-24","","Defensive rebound by N. Jokic"
"82","2:02.0","Violation by Team (kicked ball)","","30-24","",""
"83","2:02.0","N. Bjelica enters the game for D. Green","","30-24","",""
"84","2:02.0","A. Iguodala enters the game for J. Poole","","30-24","",""
"85","1:54.0","","","30-26","+2","N. Jokic makes 2-pt hook shot from 4 ft"
"86","1:29.0","S. Curry makes 2-pt jump shot from 15 ft (assist by A. Iguodala)","+2","32-26","",""
"87","1:14.0","","","32-26","","N. Jokic misses 2-pt jump shot from 5 ft"
"88","1:13.0","","","32-26","","Offensive rebound by N. Jokic"
"89","1:12.0","","","32-26","","Shooting foul by G. Payton (drawn by B. Forbes)"
"90","1:12.0","","","32-26","","B. Forbes misses free throw 1 of 3"
"91","1:12.0","","","32-26","","Offensive rebound by Team"
"92","1:12.0","","","32-27","+1","B. Forbes makes free throw 2 of 3"
"93","1:12.0","","","32-27","","D. Cousins enters the game for N. Jokic"
"94","1:12.0","","","32-28","+1","B. Forbes makes free throw 3 of 3"
"95","0:53.0","O. Porter misses 2-pt jump shot from 15 ft","","32-28","",""
"96","0:51.0","","","32-28","","Defensive rebound by D. Cousins"
"97","0:45.0","","","32-28","","Personal foul by G. Payton (drawn by D. Cousins)"
"98","0:45.0","","","32-29","+1","D. Cousins makes free throw 1 of 2"
"99","0:45.0","","","32-30","+1","D. Cousins makes free throw 2 of 2"
"100","0:30.0","S. Curry makes 2-pt layup from 2 ft","+2","34-30","",""
"101","0:14.0","","","34-32","+2","D. Cousins makes 2-pt layup from 3 ft"
"102","0:01.0","Personal foul by B. Hyland (drawn by S. Curry)","","34-32","",""
"103","0:01.0","J. Poole enters the game for A. Iguodala","","34-32","",""
