"","Time","Golden State","","Score","","Denver"
"348","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"349","11:46.0","","","87-89","","J. Green misses 2-pt dunk from 2 ft (block by N. Bjelica)"
"350","11:43.0","Defensive rebound by O. Porter","","87-89","",""
"351","11:35.0","J. Poole makes 2-pt layup from 3 ft (assist by O. Porter)","+2","89-89","",""
"352","11:35.0","Shooting foul by A. Rivers (drawn by J. Poole)","","89-89","",""
"353","11:35.0","J. Poole makes free throw 1 of 1","+1","90-89","",""
"354","11:20.0","","","90-89","","Shooting foul by A. Iguodala (drawn by J. Green)"
"355","11:20.0","","","90-90","+1","J. Green makes free throw 1 of 2"
"356","11:20.0","","","90-91","+1","J. Green makes free throw 2 of 2"
"357","11:01.0","K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Poole)","+3","93-91","",""
"358","10:43.0","","","93-91","","Personal foul by J. Poole (drawn by B. Hyland)"
"359","10:37.0","","","93-91","","Turnover by D. Cousins (traveling)"
"360","10:21.0","Personal foul by A. Rivers (drawn by O. Porter)","","93-91","",""
"361","10:21.0","","","93-91","","W. Barton enters the game for A. Rivers"
"362","10:15.0","K. Thompson misses 3-pt jump shot from 26 ft","","93-91","",""
"363","10:12.0","","","93-91","","Defensive rebound by D. Cousins"
"364","10:04.0","","","93-91","","Shooting foul by O. Porter (drawn by J. Green)"
"365","10:04.0","","","93-92","+1","J. Green makes free throw 1 of 2"
"366","10:04.0","","","93-93","+1","J. Green makes free throw 2 of 2"
"367","9:54.0","Shooting foul by W. Barton (drawn by N. Bjelica)","","93-93","",""
"368","9:54.0","N. Bjelica makes free throw 1 of 2","+1","94-93","",""
"369","9:54.0","N. Bjelica makes free throw 2 of 2","+1","95-93","",""
"370","9:42.0","","","95-93","","W. Barton misses 3-pt jump shot from 25 ft"
"371","9:37.0","Defensive rebound by A. Iguodala","","95-93","",""
"372","9:32.0","O. Porter makes 2-pt layup from 5 ft (assist by A. Iguodala)","+2","97-93","",""
"373","9:08.0","","","97-93","","D. Cousins misses 3-pt jump shot from 26 ft"
"374","9:04.0","Defensive rebound by N. Bjelica","","97-93","",""
"375","8:57.0","Personal foul by J. Green (drawn by J. Poole)","","97-93","",""
"376","8:57.0","","","97-93","","A. Gordon enters the game for D. Cousins"
"377","8:57.0","","","97-93","","N. Jokic enters the game for J. Green"
"378","8:57.0","","","97-93","","M. Morris enters the game for B. Hyland"
"379","8:50.0","Turnover by J. Poole (traveling)","","97-93","",""
"380","8:50.0","","","97-93","","J. Green enters the game for B. Forbes"
"381","8:25.0","","","97-93","","J. Green misses 3-pt jump shot from 25 ft (block by K. Thompson)"
"382","8:25.0","Defensive rebound by O. Porter","","97-93","",""
"383","8:13.0","N. Bjelica misses 2-pt hook shot from 6 ft","","97-93","",""
"384","8:10.0","","","97-93","","Defensive rebound by A. Gordon"
"385","7:50.0","","","97-96","+3","A. Gordon makes 3-pt jump shot from 23 ft (assist by W. Barton)"
"386","7:49.0","Golden State full timeout","","97-96","",""
"387","7:49.0","S. Curry enters the game for N. Bjelica","","97-96","",""
"388","7:49.0","D. Green enters the game for J. Poole","","97-96","",""
"389","7:49.0","A. Wiggins enters the game for O. Porter","","97-96","",""
"390","7:38.0","D. Green misses 2-pt jump shot from 11 ft","","97-96","",""
"391","7:34.0","Offensive rebound by A. Iguodala","","97-96","",""
"392","7:30.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Iguodala)","+3","100-96","",""
"393","7:12.0","","","100-99","+3","N. Jokic makes 3-pt jump shot from 25 ft (assist by W. Barton)"
"394","6:59.0","A. Iguodala makes 2-pt dunk from 3 ft (assist by S. Curry)","+2","102-99","",""
"395","6:59.0","Shooting foul by W. Barton (drawn by A. Iguodala)","","102-99","",""
"396","6:59.0","A. Iguodala makes free throw 1 of 1","+1","103-99","",""
"397","6:51.0","","","103-99","","Personal foul by S. Curry (drawn by N. Jokic)"
"398","6:43.0","","","103-99","","N. Jokic misses 2-pt hook shot from 7 ft"
"399","6:40.0","Defensive rebound by D. Green","","103-99","",""
"400","6:30.0","Personal foul by W. Barton (drawn by D. Green)","","103-99","",""
"401","6:30.0","D. Green misses free throw 1 of 2","","103-99","",""
"402","6:30.0","Offensive rebound by Team","","103-99","",""
"403","6:30.0","D. Green misses free throw 2 of 2","","103-99","",""
"404","6:27.0","","","103-99","","Defensive rebound by J. Green"
"405","6:18.0","","","103-101","+2","N. Jokic makes 2-pt jump shot from 8 ft (assist by M. Morris)"
"406","5:59.0","K. Thompson misses 3-pt jump shot from 26 ft","","103-101","",""
"407","5:58.0","Offensive rebound by A. Iguodala","","103-101","",""
"408","5:55.0","A. Wiggins misses 2-pt layup from 3 ft","","103-101","",""
"409","5:53.0","","","103-101","","Defensive rebound by A. Gordon"
"410","5:40.0","","","103-101","","M. Morris misses 3-pt jump shot from 24 ft"
"411","5:38.0","Defensive rebound by Team","","103-101","",""
"412","5:38.0","","","103-101","","Loose ball foul by N. Jokic (drawn by A. Iguodala)"
"413","5:38.0","A. Iguodala misses free throw 1 of 2","","103-101","",""
"414","5:38.0","Offensive rebound by Team","","103-101","",""
"415","5:38.0","A. Iguodala makes free throw 2 of 2","+1","104-101","",""
"416","5:26.0","","","104-101","","Personal foul by S. Curry (drawn by N. Jokic)"
"417","5:26.0","","","104-102","+1","N. Jokic makes free throw 1 of 2"
"418","5:26.0","J. Poole enters the game for A. Wiggins","","104-102","",""
"419","5:26.0","","","104-103","+1","N. Jokic makes free throw 2 of 2"
"420","5:15.0","S. Curry makes 3-pt jump shot from 25 ft","+3","107-103","",""
"421","4:55.0","","","107-103","","Personal foul by D. Green (drawn by N. Jokic)"
"422","4:55.0","","","107-104","+1","N. Jokic makes free throw 1 of 2"
"423","4:55.0","","","107-105","+1","N. Jokic makes free throw 2 of 2"
"424","4:39.0","S. Curry misses 3-pt jump shot from 24 ft","","107-105","",""
"425","4:36.0","","","107-105","","Defensive rebound by A. Gordon"
"426","4:27.0","","","107-105","","Personal foul by J. Poole (drawn by J. Green)"
"427","4:27.0","","","107-106","+1","J. Green makes free throw 1 of 2"
"428","4:27.0","A. Wiggins enters the game for A. Iguodala","","107-106","",""
"429","4:27.0","","","107-107","+1","J. Green makes free throw 2 of 2"
"430","4:14.0","Personal foul by A. Gordon (drawn by S. Curry)","","107-107","",""
"431","4:14.0","S. Curry makes free throw 1 of 2","+1","108-107","",""
"432","4:14.0","S. Curry makes free throw 2 of 2","+1","109-107","",""
"433","3:58.0","","","109-107","","Shooting foul by D. Green (drawn by A. Gordon)"
"434","3:58.0","","","109-108","+1","A. Gordon makes free throw 1 of 2"
"435","3:58.0","","","109-109","+1","A. Gordon makes free throw 2 of 2"
"436","3:38.0","A. Wiggins misses 3-pt jump shot from 24 ft","","109-109","",""
"437","3:36.0","","","109-109","","Defensive rebound by M. Morris"
"438","3:20.0","","","109-111","+2","N. Jokic makes 2-pt layup from 2 ft (assist by M. Morris)"
"439","3:20.0","Golden State full timeout","","109-111","",""
"440","3:05.0","A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Poole)","+3","112-111","",""
"441","2:36.0","","","112-111","","N. Jokic misses 2-pt jump shot from 6 ft"
"442","2:33.0","Defensive rebound by K. Thompson","","112-111","",""
"443","2:24.0","S. Curry misses 3-pt jump shot from 29 ft","","112-111","",""
"444","2:19.0","Offensive rebound by A. Wiggins","","112-111","",""
"445","2:15.0","J. Poole makes 2-pt layup from 3 ft (assist by S. Curry)","+2","114-111","",""
"446","1:50.0","","","114-111","","M. Morris misses 3-pt jump shot from 25 ft"
"447","1:50.0","","","114-111","","Offensive rebound by N. Jokic"
"448","1:50.0","","","114-111","","Turnover by Team (shot clock)"
"449","1:33.0","S. Curry misses 2-pt jump shot from 12 ft","","114-111","",""
"450","1:29.0","","","114-111","","Defensive rebound by W. Barton"
"451","1:25.0","","","114-111","","Offensive foul by A. Gordon (drawn by S. Curry)"
"452","1:25.0","","","114-111","","Turnover by A. Gordon (offensive foul)"
"453","1:16.0","K. Thompson misses 3-pt jump shot from 24 ft","","114-111","",""
"454","1:13.0","","","114-111","","Defensive rebound by N. Jokic"
"455","1:00.0","","","114-111","","W. Barton misses 3-pt jump shot from 27 ft"
"456","0:56.0","Defensive rebound by J. Poole","","114-111","",""
"457","0:40.0","S. Curry makes 2-pt layup from 2 ft","+2","116-111","",""
"458","0:40.0","","","116-111","","Denver full timeout"
"459","0:34.0","","","116-111","","Turnover by N. Jokic (lost ball; steal by D. Green)"
"460","0:31.0","Personal take foul by M. Morris (drawn by J. Poole)","","116-111","",""
"461","0:31.0","J. Poole makes free throw 1 of 2","+1","117-111","",""
"462","0:31.0","J. Poole misses free throw 2 of 2","","117-111","",""
"463","0:29.0","","","117-111","","Defensive rebound by A. Gordon"
"464","0:24.0","","","117-111","","W. Barton misses 2-pt layup from 10 ft"
"465","0:23.0","","","117-111","","Offensive rebound by W. Barton"
"466","0:23.0","","","117-113","+2","W. Barton makes 2-pt layup at rim"
"467","0:21.0","Personal take foul by A. Gordon (drawn by S. Curry)","","117-113","",""
"468","0:21.0","S. Curry misses free throw 1 of 2","","117-113","",""
"469","0:21.0","Offensive rebound by Team","","117-113","",""
"470","0:21.0","S. Curry makes free throw 2 of 2","+1","118-113","",""
"471","0:21.0","","","118-113","","Denver full timeout"
"472","0:21.0","A. Iguodala enters the game for S. Curry","","118-113","",""
"473","0:21.0","G. Payton enters the game for J. Poole","","118-113","",""
"474","0:21.0","","","118-113","","B. Forbes enters the game for J. Green"
"475","0:17.0","","","118-113","","W. Barton misses 3-pt jump shot from 26 ft (block by A. Iguodala)"
"476","0:10.0","Defensive rebound by A. Wiggins","","118-113","",""
"477","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
