"","Time","Golden State","","Score","","Denver"
"65","5:35.0","","","15-11","+1","N. Jokic makes free throw 1 of 2"
"66","5:35.0","","","15-12","+1","N. Jokic makes free throw 2 of 2"
"67","5:11.0","S. Curry misses 3-pt jump shot from 26 ft","","15-12","",""
"68","5:11.0","Offensive rebound by Team","","15-12","",""
"69","5:11.0","Turnover by Team (shot clock)","","15-12","",""
"70","5:01.0","","","15-12","","M. Morris misses 2-pt jump shot from 18 ft"
"71","4:58.0","Defensive rebound by O. Porter","","15-12","",""
"72","4:58.0","G. Payton enters the game for A. Wiggins","","15-12","",""
"73","4:58.0","","","15-12","","B. Hyland enters the game for J. Green"
"74","4:58.0","","","15-12","","A. Rivers enters the game for M. Morris"
"75","4:40.0","S. Curry misses 3-pt jump shot from 27 ft","","15-12","",""
"76","4:36.0","","","15-12","","Defensive rebound by A. Gordon"
"77","4:31.0","","","15-12","","Shooting foul by O. Porter (drawn by A. Gordon)"
"78","4:31.0","","","15-13","+1","A. Gordon makes free throw 1 of 2"
"79","4:31.0","","","15-13","","A. Gordon misses free throw 2 of 2"
"80","4:27.0","Defensive rebound by D. Green","","15-13","",""
"81","4:17.0","G. Payton misses 3-pt jump shot from 23 ft","","15-13","",""
"82","4:14.0","","","15-13","","Defensive rebound by N. Jokic"
"83","4:09.0","","","15-13","","W. Barton misses 3-pt jump shot from 29 ft"
"84","4:07.0","","","15-13","","Offensive rebound by Team"
"85","4:07.0","Loose ball foul by O. Porter (drawn by A. Gordon)","","15-13","",""
"86","4:07.0","","","15-14","+1","A. Gordon makes free throw 1 of 2"
"87","4:07.0","","","15-14","","B. Forbes enters the game for W. Barton"
"88","4:07.0","","","15-14","","A. Gordon misses free throw 2 of 2"
"89","4:05.0","Defensive rebound by D. Green","","15-14","",""
"90","4:01.0","Personal foul by B. Hyland (drawn by S. Curry)","","15-14","",""
"91","4:01.0","N. Bjelica enters the game for D. Green","","15-14","",""
"92","4:01.0","A. Iguodala enters the game for J. Poole","","15-14","",""
"93","3:57.0","S. Curry makes 2-pt jump shot from 16 ft (assist by N. Bjelica)","+2","17-14","",""
"94","3:39.0","","","17-16","+2","N. Jokic makes 2-pt layup from 4 ft (assist by A. Gordon)"
"95","3:28.0","Personal foul by B. Forbes (drawn by G. Payton)","","17-16","",""
"96","3:15.0","A. Iguodala misses 2-pt jump shot from 20 ft","","17-16","",""
"97","3:12.0","","","17-16","","Defensive rebound by B. Forbes"
"98","2:59.0","","","17-16","","Personal foul by S. Curry (drawn by B. Hyland)"
"99","2:59.0","","","17-16","","Denver full timeout"
"100","2:59.0","","","17-16","","J. Green enters the game for A. Gordon"
"101","2:59.0","","","17-16","","B. Hyland misses free throw 1 of 2"
"102","2:59.0","","","17-16","","Offensive rebound by Team"
"103","2:59.0","","","17-17","+1","B. Hyland makes free throw 2 of 2"
"104","2:41.0","Turnover by A. Iguodala (bad pass; steal by A. Rivers)","","17-17","",""
"105","2:34.0","","","17-20","+3","N. Jokic makes 3-pt jump shot from 26 ft (assist by B. Hyland)"
"106","2:18.0","S. Curry misses 3-pt jump shot from 25 ft","","17-20","",""
"107","2:15.0","","","17-20","","Defensive rebound by N. Jokic"
"108","2:10.0","","","17-23","+3","N. Jokic makes 3-pt jump shot from 26 ft (assist by B. Hyland)"
"109","1:51.0","A. Iguodala misses 3-pt jump shot from 26 ft","","17-23","",""
"110","1:47.0","","","17-23","","Defensive rebound by N. Jokic"
"111","1:41.0","Golden State full timeout","","17-23","",""
"112","1:41.0","Instant Replay (Challenge: Ruling Stands)","","17-23","",""
"113","1:27.0","","","17-23","","N. Jokic misses 2-pt jump shot from 4 ft"
"114","1:25.0","Defensive rebound by N. Bjelica","","17-23","",""
"115","1:07.0","N. Bjelica misses 2-pt jump shot from 13 ft","","17-23","",""
"116","1:04.0","Offensive rebound by A. Iguodala","","17-23","",""
"117","1:03.0","A. Iguodala misses 2-pt jump shot from 15 ft","","17-23","",""
"118","1:03.0","Offensive rebound by Team","","17-23","",""
"119","1:03.0","Turnover by Team (shot clock)","","17-23","",""
"120","0:52.0","","","17-23","","Turnover by B. Hyland (bad pass; steal by G. Payton)"
"121","0:49.0","Shooting foul by A. Rivers (drawn by O. Porter)","","17-23","",""
"122","0:49.0","O. Porter makes free throw 1 of 2","+1","18-23","",""
"123","0:49.0","","","18-23","","D. Cousins enters the game for N. Jokic"
"124","0:49.0","O. Porter misses free throw 2 of 2","","18-23","",""
"125","0:48.0","","","18-23","","Defensive rebound by D. Cousins"
"126","0:32.0","","","18-25","+2","J. Green makes 2-pt dunk from 2 ft (assist by D. Cousins)"
"127","0:14.0","S. Curry makes 3-pt jump shot from 26 ft","+3","21-25","",""
"128","0:00.0","","","21-25","","Shooting foul by A. Iguodala (drawn by B. Hyland)"
"129","0:00.0","","","21-25","","B. Hyland misses free throw 1 of 2"
"130","0:00.0","","","21-25","","Offensive rebound by Team"
"131","0:00.0","K. Looney enters the game for A. Iguodala","","21-25","",""
"132","0:00.0","J. Poole enters the game for G. Payton","","21-25","",""
"133","0:00.0","","","21-26","+1","B. Hyland makes free throw 2 of 2"
"134","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"135","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"136","Time","Golden State","","Score","","Denver"
"137","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"138","11:50.0","","","21-28","+2","J. Green makes 2-pt dunk from 2 ft (assist by A. Rivers)"
"139","11:50.0","","","21-28","","Shooting foul by A. Iguodala (drawn by J. Green)"
"140","11:50.0","","","21-29","+1","J. Green makes free throw 1 of 1"
"141","11:43.0","Personal foul by B. Hyland (drawn by A. Iguodala)","","21-29","",""
"142","11:34.0","Turnover by A. Iguodala (bad pass)","","21-29","",""
"143","11:19.0","","","21-29","","A. Rivers misses 3-pt jump shot from 23 ft"
"144","11:16.0","Defensive rebound by O. Porter","","21-29","",""
"145","11:11.0","Personal foul by A. Rivers (drawn by J. Poole)","","21-29","",""
"146","11:11.0","J. Kuminga enters the game for N. Bjelica","","21-29","",""
"147","11:01.0","J. Poole misses 3-pt jump shot from 26 ft","","21-29","",""
"148","10:57.0","","","21-29","","Defensive rebound by D. Cousins"
"149","10:54.0","","","21-29","","B. Hyland misses 3-pt jump shot from 26 ft"
"150","10:53.0","Defensive rebound by Team","","21-29","",""
"151","10:53.0","","","21-29","","Loose ball foul by D. Cousins (drawn by J. Kuminga)"
"152","10:44.0","J. Poole misses 2-pt jump shot from 17 ft","","21-29","",""
"153","10:41.0","","","21-29","","Defensive rebound by J. Green"
"154","10:33.0","","","21-31","+2","D. Cousins makes 2-pt layup from 5 ft (assist by B. Hyland)"
"155","10:33.0","","","21-31","","Shooting foul by A. Iguodala (drawn by D. Cousins)"
"156","10:33.0","A. Wiggins enters the game for A. Iguodala","","21-31","",""
"157","10:33.0","","","21-31","","D. Cousins misses free throw 1 of 1"
"158","10:31.0","Defensive rebound by O. Porter","","21-31","",""
"159","10:21.0","Turnover by K. Thompson (traveling)","","21-31","",""
"160","10:10.0","","","21-34","+3","B. Hyland makes 3-pt jump shot from 31 ft (assist by D. Cousins)"
"161","9:49.0","Personal foul by B. Forbes (drawn by K. Thompson)","","21-34","",""
"162","9:39.0","J. Poole makes 2-pt layup from 6 ft","+2","23-34","",""
"163","9:25.0","","","23-37","+3","B. Hyland makes 3-pt jump shot from 30 ft"
"164","9:12.0","J. Kuminga misses 3-pt jump shot from 28 ft","","23-37","",""
"165","9:10.0","","","23-37","","Defensive rebound by B. Hyland"
"166","9:05.0","","","23-40","+3","B. Hyland makes 3-pt jump shot from 33 ft"
"167","9:03.0","Golden State full timeout","","23-40","",""
"168","9:03.0","S. Curry enters the game for J. Poole","","23-40","",""
"169","9:03.0","D. Green enters the game for O. Porter","","23-40","",""
"170","8:47.0","Personal foul by B. Forbes (drawn by J. Kuminga)","","23-40","",""
"171","8:47.0","J. Kuminga misses free throw 1 of 2","","23-40","",""
"172","8:47.0","Offensive rebound by Team","","23-40","",""
"173","8:47.0","J. Kuminga misses free throw 2 of 2","","23-40","",""
"174","8:45.0","","","23-40","","Defensive rebound by D. Cousins"
"175","8:30.0","","","23-40","","B. Hyland misses 3-pt jump shot from 27 ft"
"176","8:26.0","Defensive rebound by S. Curry","","23-40","",""
"177","8:20.0","S. Curry makes 2-pt layup from 4 ft","+2","25-40","",""
"178","8:20.0","Shooting foul by D. Cousins (drawn by S. Curry)","","25-40","",""
"179","8:20.0","","","25-40","","A. Gordon enters the game for B. Forbes"
"180","8:20.0","S. Curry makes free throw 1 of 1","+1","26-40","",""
"181","8:07.0","","","26-40","","Shooting foul by D. Green (drawn by D. Cousins)"
"182","8:07.0","","","26-40","","Technical foul by D. Cousins"
"183","8:07.0","S. Curry makes technical free throw","+1","27-40","",""
"184","8:07.0","","","27-41","+1","D. Cousins makes free throw 1 of 2"
"185","8:07.0","","","27-42","+1","D. Cousins makes free throw 2 of 2"
"186","7:52.0","A. Wiggins makes 2-pt layup from 3 ft (assist by D. Green)","+2","29-42","",""
"187","7:42.0","","","29-44","+2","A. Gordon makes 2-pt layup from 1 ft (assist by B. Hyland)"
"188","7:27.0","Personal foul by D. Cousins (drawn by A. Wiggins)","","29-44","",""
"189","7:27.0","A. Wiggins misses free throw 1 of 2","","29-44","",""
"190","7:27.0","Offensive rebound by Team","","29-44","",""
"191","7:27.0","","","29-44","","W. Barton enters the game for D. Cousins"
"192","7:27.0","","","29-44","","N. Jokic enters the game for J. Green"
"193","7:27.0","A. Wiggins makes free throw 2 of 2","+1","30-44","",""
"194","7:13.0","","","30-44","","W. Barton misses 3-pt jump shot from 24 ft"
"195","7:10.0","","","30-44","","Offensive rebound by A. Gordon"
"196","7:10.0","","","30-44","","Shooting foul by K. Thompson (drawn by A. Gordon)"
"197","7:10.0","","","30-45","+1","A. Gordon makes free throw 1 of 2"
"198","7:10.0","","","30-46","+1","A. Gordon makes free throw 2 of 2"
"199","6:55.0","K. Thompson makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","32-46","",""
"200","6:39.0","","","32-46","","Turnover by B. Hyland (bad pass; steal by S. Curry)"
"201","6:35.0","J. Kuminga makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","34-46","",""
"202","6:24.0","","","34-46","","Denver full timeout"
"203","6:24.0","J. Poole enters the game for K. Thompson","","34-46","",""
"204","6:24.0","","","34-46","","M. Morris enters the game for B. Hyland"
"205","6:11.0","","","34-46","","Turnover by N. Jokic (bad pass)"
"206","6:01.0","A. Wiggins misses 2-pt jump shot from 10 ft","","34-46","",""
"207","5:57.0","Offensive rebound by A. Wiggins","","34-46","",""
"208","5:57.0","A. Wiggins makes 2-pt layup at rim","+2","36-46","",""
"209","5:44.0","","","36-48","+2","N. Jokic makes 2-pt jump shot from 6 ft"
"210","5:38.0","J. Kuminga makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","38-48","",""
"211","5:19.0","","","38-48","","W. Barton misses 2-pt jump shot from 8 ft"
"212","5:15.0","","","38-48","","Offensive rebound by A. Gordon"
"213","5:15.0","","","38-48","","A. Gordon misses 2-pt layup at rim"
"214","5:14.0","Defensive rebound by D. Green","","38-48","",""
"215","5:08.0","Turnover by J. Poole (lost ball; steal by A. Rivers)","","38-48","",""
"216","5:04.0","","","38-48","","M. Morris misses 3-pt jump shot from 23 ft"
"217","5:00.0","Defensive rebound by D. Green","","38-48","",""
"218","4:50.0","S. Curry misses 3-pt jump shot from 28 ft","","38-48","",""
"219","4:47.0","","","38-48","","Defensive rebound by M. Morris"
"220","4:39.0","","","38-48","","Turnover by A. Rivers (bad pass; steal by A. Wiggins)"
"221","4:31.0","A. Wiggins makes 2-pt layup from 3 ft","+2","40-48","",""
"222","4:31.0","","","40-48","","Denver full timeout"
"223","4:11.0","","","40-50","+2","N. Jokic makes 2-pt jump shot from 13 ft (assist by M. Morris)"
"224","4:01.0","Turnover by D. Green (bad pass; steal by W. Barton)","","40-50","",""
"225","3:54.0","","","40-53","+3","W. Barton makes 3-pt jump shot from 25 ft (assist by A. Gordon)"
"226","3:43.0","Shooting foul by A. Gordon (drawn by J. Kuminga)","","40-53","",""
"227","3:43.0","","","40-53","","Technical foul by A. Rivers"
"228","3:43.0","S. Curry makes technical free throw","+1","41-53","",""
"229","3:43.0","J. Kuminga makes free throw 1 of 2","+1","42-53","",""
"230","3:43.0","J. Kuminga makes free throw 2 of 2","+1","43-53","",""
"231","3:29.0","","","43-53","","Turnover by A. Gordon (bad pass; steal by S. Curry)"
"232","3:27.0","Turnover by S. Curry (bad pass; steal by A. Rivers)","","43-53","",""
"233","3:23.0","","","43-56","+3","A. Gordon makes 3-pt jump shot from 23 ft (assist by M. Morris)"
"234","3:06.0","Turnover by J. Poole (lost ball; steal by A. Rivers)","","43-56","",""
"235","3:03.0","","","43-56","","Shooting foul by A. Wiggins (drawn by M. Morris)"
"236","3:03.0","","","43-57","+1","M. Morris makes free throw 1 of 2"
"237","3:03.0","","","43-58","+1","M. Morris makes free throw 2 of 2"
"238","2:46.0","D. Green makes 2-pt layup from 5 ft (assist by J. Poole)","+2","45-58","",""
"239","2:24.0","","","45-58","","A. Rivers misses 3-pt jump shot from 23 ft"
"240","2:20.0","Defensive rebound by D. Green","","45-58","",""
"241","2:08.0","A. Wiggins makes 2-pt jump shot from 8 ft (assist by D. Green)","+2","47-58","",""
"242","1:51.0","","","47-58","","Shooting foul by J. Poole (drawn by M. Morris)"
"243","1:51.0","","","47-58","","Instant Replay (Request: Ruling Stands)"
"244","1:51.0","","","47-59","+1","M. Morris makes free throw 1 of 3"
"245","1:51.0","","","47-60","+1","M. Morris makes free throw 2 of 3"
"246","1:51.0","","","47-61","+1","M. Morris makes free throw 3 of 3"
"247","1:39.0","Shooting foul by N. Jokic (drawn by S. Curry)","","47-61","",""
"248","1:39.0","S. Curry misses free throw 1 of 2","","47-61","",""
"249","1:39.0","Offensive rebound by Team","","47-61","",""
"250","1:39.0","S. Curry misses free throw 2 of 2","","47-61","",""
"251","1:37.0","","","47-61","","Defensive rebound by N. Jokic"
"252","1:13.0","","","47-61","","W. Barton misses 2-pt jump shot from 8 ft"
"253","1:11.0","Defensive rebound by D. Green","","47-61","",""
"254","1:01.0","A. Wiggins makes 2-pt layup from 2 ft (assist by D. Green)","+2","49-61","",""
"255","0:45.0","","","49-61","","A. Gordon misses 2-pt jump shot from 15 ft"
"256","0:43.0","Defensive rebound by D. Green","","49-61","",""
"257","0:34.0","J. Kuminga makes 2-pt layup from 3 ft (assist by S. Curry)","+2","51-61","",""
"258","0:34.0","Shooting foul by M. Morris (drawn by J. Kuminga)","","51-61","",""
"259","0:34.0","K. Looney enters the game for D. Green","","51-61","",""
"260","0:34.0","","","51-61","","B. Hyland enters the game for M. Morris"
"261","0:34.0","J. Kuminga makes free throw 1 of 1","+1","52-61","",""
"262","0:19.0","","","52-61","","Turnover by B. Hyland (bad pass; steal by A. Wiggins)"
"263","0:16.0","Turnover by J. Poole (lost ball; steal by B. Hyland)","","52-61","",""
"264","0:12.0","","","52-63","+2","B. Hyland makes 2-pt layup from 3 ft"
"265","0:00.0","S. Curry misses 2-pt layup from 2 ft (block by A. Gordon)","","52-63","",""
"266","0:00.0","Offensive rebound by Team","","52-63","",""
"267","0:00.0","K. Thompson enters the game for K. Looney","","52-63","",""
"268","0:00.0","","","52-63","","J. Green enters the game for A. Gordon"
"269","0:00.0","Offensive foul by K. Thompson (drawn by A. Rivers)","","52-63","",""
"270","0:00.0","Turnover by K. Thompson (offensive foul)","","52-63","",""
"271","0:00.0","K. Looney enters the game for K. Thompson","","52-63","",""
"272","0:00.0","","","52-63","","A. Rivers misses 3-pt jump shot from 48 ft"
"273","0:00.0","","","52-63","","Offensive rebound by Team"
"274","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"275","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"276","Time","Golden State","","Score","","Denver"
"277","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"278","11:45.0","","","52-63","","A. Gordon misses 3-pt jump shot from 23 ft"
"279","11:41.0","Defensive rebound by K. Looney","","52-63","",""
"280","11:28.0","A. Wiggins misses 2-pt jump shot from 12 ft","","52-63","",""
"281","11:25.0","Offensive rebound by J. Poole","","52-63","",""
"282","11:19.0","K. Thompson makes 2-pt layup from 2 ft (assist by J. Poole)","+2","54-63","",""
"283","11:02.0","","","54-63","","W. Barton misses 3-pt jump shot from 23 ft"
"284","11:00.0","Defensive rebound by K. Thompson","","54-63","",""
"285","10:56.0","Personal foul by W. Barton (drawn by J. Poole)","","54-63","",""
"286","10:51.0","J. Poole misses 3-pt jump shot from 27 ft (block by A. Gordon)","","54-63","",""
"287","10:49.0","","","54-63","","Defensive rebound by Team"
"288","10:32.0","Jump ball: D. Green vs. N. Jokic (J. Poole gains possession)","Jump ball: D. Green vs. N. Jokic (J. Poole gains possession)","Jump ball: D. Green vs. N. Jokic (J. Poole gains possession)","Jump ball: D. Green vs. N. Jokic (J. Poole gains possession)","Jump ball: D. Green vs. N. Jokic (J. Poole gains possession)"
"289","10:32.0","","","54-63","","Turnover by N. Jokic (lost ball; steal by D. Green)"
"290","10:27.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by J. Poole)","+3","57-63","",""
"291","10:14.0","","","57-66","+3","M. Morris makes 3-pt jump shot from 26 ft (assist by N. Jokic)"
"292","9:59.0","K. Thompson makes 2-pt jump shot from 21 ft","+2","59-66","",""
"293","9:36.0","","","59-66","","N. Jokic misses 3-pt jump shot from 25 ft"
"294","9:34.0","","","59-66","","Offensive rebound by J. Green"
"295","9:34.0","","","59-66","","Shooting foul by A. Wiggins (drawn by J. Green)"
"296","9:34.0","","","59-68","+2","J. Green makes 2-pt layup from 4 ft"
"297","9:34.0","","","59-69","+1","J. Green makes free throw 1 of 1"
"298","9:19.0","K. Thompson misses 2-pt layup from 2 ft","","59-69","",""
"299","9:17.0","","","59-69","","Defensive rebound by W. Barton"
"300","9:14.0","","","59-72","+3","M. Morris makes 3-pt jump shot from 25 ft (assist by A. Gordon)"
"301","8:58.0","Offensive foul by K. Looney (drawn by A. Gordon)","","59-72","",""
"302","8:58.0","Turnover by K. Looney (offensive foul)","","59-72","",""
"303","8:40.0","","","59-74","+2","N. Jokic makes 2-pt jump shot from 12 ft"
"304","8:24.0","D. Green makes 2-pt dunk from 1 ft (assist by J. Poole)","+2","61-74","",""
"305","8:09.0","","","61-74","","N. Jokic misses 2-pt jump shot from 8 ft"
"306","8:06.0","Defensive rebound by K. Looney","","61-74","",""
"307","8:02.0","K. Thompson makes 3-pt jump shot from 30 ft (assist by J. Poole)","+3","64-74","",""
"308","7:39.0","","","64-74","","Turnover by N. Jokic (bad pass; steal by J. Poole)"
"309","7:35.0","J. Poole makes 3-pt jump shot from 26 ft","+3","67-74","",""
"310","7:33.0","","","67-74","","Denver full timeout"
"311","7:33.0","S. Curry enters the game for K. Looney","","67-74","",""
"312","7:27.0","","","67-77","+3","N. Jokic makes 3-pt jump shot from 26 ft (assist by A. Gordon)"
"313","7:18.0","K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Poole)","+3","70-77","",""
"314","7:04.0","","","70-77","","Personal foul by D. Green (drawn by N. Jokic)"
"315","7:04.0","","","70-77","","A. Rivers enters the game for W. Barton"
"316","7:01.0","","","70-80","+3","M. Morris makes 3-pt jump shot from 26 ft (assist by N. Jokic)"
"317","6:46.0","S. Curry misses 3-pt jump shot from 28 ft","","70-80","",""
"318","6:43.0","","","70-80","","Defensive rebound by A. Gordon"
"319","6:28.0","","","70-80","","Shooting foul by J. Poole (drawn by A. Gordon)"
"320","6:28.0","","","70-81","+1","A. Gordon makes free throw 1 of 2"
"321","6:28.0","","","70-81","","A. Gordon misses free throw 2 of 2"
"322","6:26.0","Defensive rebound by K. Thompson","","70-81","",""
"323","6:15.0","A. Wiggins makes 2-pt layup from 3 ft","+2","72-81","",""
"324","6:01.0","","","72-84","+3","M. Morris makes 3-pt jump shot from 25 ft (assist by N. Jokic)"
"325","5:47.0","J. Poole misses 3-pt jump shot from 25 ft","","72-84","",""
"326","5:47.0","Offensive rebound by Team","","72-84","",""
"327","5:47.0","","","72-84","","Denver full timeout"
"328","5:47.0","","","72-84","","Instant Replay (Challenge: Ruling Stands)"
"329","5:43.0","Jump ball: D. Green vs. N. Jokic (A. Wiggins gains possession)","Jump ball: D. Green vs. N. Jokic (A. Wiggins gains possession)","Jump ball: D. Green vs. N. Jokic (A. Wiggins gains possession)","Jump ball: D. Green vs. N. Jokic (A. Wiggins gains possession)","Jump ball: D. Green vs. N. Jokic (A. Wiggins gains possession)"
"330","5:26.0","Shooting foul by M. Morris (drawn by D. Green)","","72-84","",""
"331","5:26.0","D. Green makes free throw 1 of 2","+1","73-84","",""
"332","5:26.0","D. Green makes free throw 2 of 2","+1","74-84","",""
"333","5:13.0","","","74-84","","Turnover by M. Morris (bad pass; steal by K. Thompson)"
"334","5:13.0","Personal foul by M. Morris (drawn by J. Poole)","","74-84","",""
"335","5:13.0","G. Payton enters the game for K. Thompson","","74-84","",""
"336","5:13.0","O. Porter enters the game for A. Wiggins","","74-84","",""
"337","4:54.0","D. Green makes 2-pt hook shot from 7 ft (assist by S. Curry)","+2","76-84","",""
"338","4:38.0","","","76-87","+3","M. Morris makes 3-pt jump shot from 22 ft (assist by A. Rivers)"
"339","4:23.0","J. Poole misses 3-pt jump shot from 26 ft","","76-87","",""
"340","4:22.0","Offensive rebound by Team","","76-87","",""
"341","4:22.0","","","76-87","","Loose ball foul by J. Green (drawn by O. Porter)"
"342","4:22.0","","","76-87","","B. Hyland enters the game for J. Green"
"343","4:19.0","Personal foul by A. Gordon (drawn by J. Poole)","","76-87","",""
"344","4:19.0","J. Poole makes free throw 1 of 2","+1","77-87","",""
"345","4:19.0","J. Poole makes free throw 2 of 2","+1","78-87","",""
"346","3:56.0","","","78-89","+2","N. Jokic makes 2-pt hook shot from 4 ft (assist by B. Hyland)"
"347","3:44.0","S. Curry makes 2-pt layup from 2 ft (assist by D. Green)","+2","80-89","",""
"348","3:44.0","Shooting foul by M. Morris (drawn by S. Curry)","","80-89","",""
"349","3:44.0","S. Curry makes free throw 1 of 1","+1","81-89","",""
"350","3:27.0","","","81-89","","Turnover by N. Jokic (lost ball; steal by S. Curry)"
"351","3:26.0","Turnover by S. Curry (traveling)","","81-89","",""
