"","Time","Golden State","","Score","","Denver"
"2","12:00.0","Jump ball: K. Looney vs. N. Jokic (J. Poole gains possession)","Jump ball: K. Looney vs. N. Jokic (J. Poole gains possession)","Jump ball: K. Looney vs. N. Jokic (J. Poole gains possession)","Jump ball: K. Looney vs. N. Jokic (J. Poole gains possession)","Jump ball: K. Looney vs. N. Jokic (J. Poole gains possession)"
"3","11:36.0","K. Thompson misses 2-pt layup from 5 ft","","0-0","",""
"4","11:35.0","Offensive rebound by K. Looney","","0-0","",""
"5","11:35.0","K. Looney makes 2-pt layup at rim","+2","2-0","",""
"6","11:20.0","","","2-0","","Personal foul by D. Green (drawn by N. Jokic)"
"7","11:20.0","","","2-0","","Technical foul by A. Gordon"
"8","11:20.0","Technical foul by D. Green","","2-0","",""
"9","11:20.0","Instant Replay (Request: Ruling Stands)","","2-0","",""
"10","11:08.0","","","2-0","","Shooting foul by K. Thompson (drawn by N. Jokic)"
"11","11:08.0","","","2-1","+1","N. Jokic makes free throw 1 of 2"
"12","11:08.0","","","2-2","+1","N. Jokic makes free throw 2 of 2"
"13","10:50.0","K. Thompson misses 2-pt jump shot from 11 ft","","2-2","",""
"14","10:48.0","","","2-2","","Defensive rebound by A. Gordon"
"15","10:46.0","","","2-2","","Turnover by A. Gordon (bad pass)"
"16","10:36.0","Turnover by D. Green (bad pass; steal by A. Gordon)","","2-2","",""
"17","10:31.0","","","2-4","+2","N. Jokic makes 2-pt layup from 3 ft (assist by M. Morris)"
"18","10:16.0","K. Thompson makes 2-pt layup from 4 ft (assist by J. Poole)","+2","4-4","",""
"19","10:05.0","","","4-6","+2","N. Jokic makes 2-pt jump shot from 6 ft"
"20","9:57.0","A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Poole)","+3","7-6","",""
"21","9:41.0","","","7-6","","Turnover by N. Jokic (step out of bounds)"
"22","9:18.0","D. Green misses 3-pt jump shot from 23 ft","","7-6","",""
"23","9:14.0","Offensive rebound by K. Looney","","7-6","",""
"24","9:13.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Looney)","+3","10-6","",""
"25","8:57.0","","","10-6","","A. Gordon misses 2-pt jump shot from 20 ft"
"26","8:54.0","Defensive rebound by A. Wiggins","","10-6","",""
"27","8:44.0","K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green)","+3","13-6","",""
"28","8:28.0","","","13-6","","M. Morris misses 2-pt jump shot from 20 ft"
"29","8:26.0","Defensive rebound by K. Thompson","","13-6","",""
"30","8:18.0","J. Poole misses 2-pt layup from 3 ft","","13-6","",""
"31","8:16.0","","","13-6","","Defensive rebound by N. Jokic"
"32","8:14.0","","","13-6","","Personal foul by K. Thompson (drawn by A. Gordon)"
"33","8:14.0","S. Curry enters the game for K. Thompson","","13-6","",""
"34","8:14.0","Violation by Team (delay of game)","","13-6","",""
"35","8:08.0","","","13-6","","M. Morris misses 3-pt jump shot from 26 ft"
"36","8:04.0","Defensive rebound by K. Looney","","13-6","",""
"37","8:02.0","Personal foul by A. Gordon (drawn by D. Green)","","13-6","",""
"38","7:55.0","K. Looney misses 2-pt layup from 3 ft","","13-6","",""
"39","7:55.0","Offensive rebound by Team","","13-6","",""
"40","7:50.0","S. Curry misses 2-pt jump shot from 15 ft","","13-6","",""
"41","7:48.0","","","13-6","","Defensive rebound by W. Barton"
"42","7:38.0","","","13-6","","Turnover by W. Barton (bad pass; steal by J. Poole)"
"43","7:35.0","S. Curry misses 3-pt jump shot from 27 ft","","13-6","",""
"44","7:32.0","Offensive rebound by A. Wiggins","","13-6","",""
"45","7:28.0","S. Curry misses 2-pt jump shot from 19 ft","","13-6","",""
"46","7:25.0","","","13-6","","Defensive rebound by W. Barton"
"47","7:17.0","","","13-8","+2","A. Gordon makes 2-pt dunk at rim (assist by N. Jokic)"
"48","7:17.0","Golden State full timeout","","13-8","",""
"49","7:05.0","J. Poole misses 2-pt jump shot from 13 ft","","13-8","",""
"50","7:03.0","","","13-8","","Defensive rebound by N. Jokic"
"51","6:52.0","","","13-8","","Turnover by N. Jokic (lost ball; steal by K. Looney)"
"52","6:45.0","A. Wiggins misses 3-pt jump shot from 28 ft","","13-8","",""
"53","6:42.0","","","13-8","","Defensive rebound by W. Barton"
"54","6:30.0","","","13-8","","A. Gordon misses 3-pt jump shot from 23 ft"
"55","6:28.0","","","13-8","","Offensive rebound by Team"
"56","6:23.0","","","13-8","","N. Jokic misses 2-pt jump shot from 18 ft"
"57","6:20.0","Defensive rebound by D. Green","","13-8","",""
"58","6:08.0","Turnover by A. Wiggins (lost ball; steal by W. Barton)","","13-8","",""
"59","5:56.0","","","13-8","","N. Jokic misses 2-pt layup from 5 ft (block by A. Wiggins)"
"60","5:50.0","","","13-8","","Offensive rebound by N. Jokic"
"61","5:50.0","","","13-10","+2","N. Jokic makes 2-pt layup from 3 ft"
"62","5:42.0","J. Poole makes 2-pt layup from 4 ft","+2","15-10","",""
"63","5:35.0","","","15-10","","Shooting foul by K. Looney (drawn by N. Jokic)"
"64","5:35.0","O. Porter enters the game for K. Looney","","15-10","",""
