"","Time","Memphis","","Score","","Golden State"
"358","11:02.0","T. Jones makes 3-pt jump shot from 23 ft (assist by S. Adams)","+3","74-64","",""
"359","10:50.0","","","74-64","","J. Poole misses 3-pt jump shot from 29 ft"
"360","10:50.0","Defensive rebound by Team","","74-64","",""
"361","10:35.0","Shooting foul by O. Porter (drawn by J. Jackson)","","74-64","",""
"362","10:35.0","J. Jackson makes free throw 1 of 2","+1","75-64","",""
"363","10:35.0","","","75-64","","A. Wiggins enters the game for D. Lee"
"364","10:35.0","J. Jackson makes free throw 2 of 2","+1","76-64","",""
"365","10:23.0","","","76-64","","J. Poole misses 2-pt layup from 6 ft (block by S. Adams)"
"366","10:21.0","","","76-64","","Offensive rebound by J. Poole"
"367","10:12.0","","","76-67","+3","O. Porter makes 3-pt jump shot from 27 ft (assist by A. Wiggins)"
"368","9:53.0","","","76-67","","Violation by Team (kicked ball)"
"369","9:48.0","J. Jackson makes 2-pt jump shot from 7 ft","+2","78-67","",""
"370","9:33.0","","","78-69","+2","K. Looney makes 2-pt dunk from 5 ft (assist by J. Poole)"
"371","9:17.0","T. Jones misses 2-pt jump shot from 9 ft","","78-69","",""
"372","9:14.0","","","78-69","","Defensive rebound by K. Looney"
"373","8:55.0","","","78-72","+3","O. Porter makes 3-pt jump shot from 25 ft (assist by J. Poole)"
"374","8:37.0","Shooting foul by O. Porter (drawn by J. Jackson)","","78-72","",""
"375","8:37.0","J. Jackson makes free throw 1 of 2","+1","79-72","",""
"376","8:37.0","D. Brooks enters the game for D. Bane","","79-72","",""
"377","8:37.0","","","79-72","","S. Curry enters the game for K. Looney"
"378","8:37.0","","","79-72","","D. Green enters the game for J. Poole"
"379","8:37.0","J. Jackson makes free throw 2 of 2","+1","80-72","",""
"380","8:22.0","","","80-74","+2","A. Wiggins makes 2-pt jump shot from 9 ft (assist by D. Green)"
"381","8:04.0","T. Jones makes 2-pt jump shot from 8 ft (assist by D. Brooks)","+2","82-74","",""
"382","7:55.0","","","82-76","+2","S. Curry makes 2-pt layup from 6 ft"
"383","7:55.0","","","82-76","","Shooting foul by D. Brooks (drawn by S. Curry)"
"384","7:55.0","Memphis full timeout","","82-76","",""
"385","7:55.0","K. Anderson enters the game for S. Adams","","82-76","",""
"386","7:55.0","","","82-76","","J. Poole enters the game for K. Thompson"
"387","7:55.0","","","82-76","","S. Curry misses free throw 1 of 1"
"388","7:53.0","Defensive rebound by K. Anderson","","82-76","",""
"389","7:36.0","Turnover by D. Brooks (out of bounds lost ball)","","82-76","",""
"390","7:31.0","","","82-76","","Personal foul by J. Jackson (drawn by D. Green)"
"391","7:24.0","","","82-79","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green)"
"392","7:07.0","Personal foul by D. Green (drawn by T. Jones)","","82-79","",""
"393","7:07.0","D. Bane enters the game for Z. Williams","","82-79","",""
"394","7:07.0","","","82-79","","Violation by Team (delay of game)"
"395","7:04.0","Personal foul by D. Green (drawn by J. Jackson)","","82-79","",""
"396","6:53.0","J. Jackson misses 3-pt jump shot from 25 ft","","82-79","",""
"397","6:51.0","","","82-79","","Defensive rebound by A. Wiggins"
"398","6:43.0","","","82-79","","Turnover by J. Poole (bad pass; steal by K. Anderson)"
"399","6:39.0","Turnover by D. Brooks (bad pass; steal by O. Porter)","","82-79","",""
"400","6:33.0","","","82-79","","S. Curry misses 3-pt jump shot from 27 ft"
"401","6:31.0","","","82-79","","Offensive rebound by A. Wiggins"
"402","6:25.0","","","82-79","","Shooting foul by J. Jackson (drawn by J. Poole)"
"403","6:25.0","","","82-80","+1","J. Poole makes free throw 1 of 2"
"404","6:25.0","","","82-81","+1","J. Poole makes free throw 2 of 2"
"405","6:08.0","D. Brooks makes 3-pt jump shot from 27 ft (assist by D. Bane)","+3","85-81","",""
"406","6:08.0","","","85-81","","K. Thompson enters the game for O. Porter"
"407","5:44.0","","","85-83","+2","K. Thompson makes 2-pt jump shot from 20 ft (assist by S. Curry)"
"408","5:25.0","D. Brooks misses 3-pt jump shot from 26 ft","","85-83","",""
"409","5:23.0","Offensive rebound by K. Anderson","","85-83","",""
"410","5:21.0","K. Anderson makes 2-pt layup at rim","+2","87-83","",""
"411","5:06.0","","","87-83","","Turnover by K. Thompson (lost ball; steal by K. Anderson)"
"412","5:05.0","Turnover by K. Anderson (step out of bounds)","","87-83","",""
"413","5:01.0","","","87-86","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by K. Thompson)"
"414","4:46.0","T. Jones makes 2-pt layup from 6 ft","+2","89-86","",""
"415","4:29.0","","","89-86","","S. Curry misses 2-pt layup from 6 ft (block by J. Jackson)"
"416","4:29.0","Defensive rebound by Team","","89-86","",""
"417","4:15.0","D. Bane misses 2-pt jump shot from 11 ft (block by A. Wiggins)","","89-86","",""
"418","4:08.0","","","89-86","","Defensive rebound by A. Wiggins"
"419","4:08.0","","","89-88","+2","J. Poole makes 2-pt layup from 3 ft"
"420","3:48.0","Personal foul by D. Green (drawn by J. Jackson)","","89-88","",""
"421","3:48.0","","","89-88","","Golden State full timeout"
"422","3:48.0","","","89-88","","Instant Replay (Challenge: Ruling Stands)"
"423","3:48.0","J. Jackson misses free throw 1 of 2","","89-88","",""
"424","3:48.0","Offensive rebound by Team","","89-88","",""
"425","3:48.0","J. Jackson makes free throw 2 of 2","+1","90-88","",""
"426","3:25.0","","","90-90","+2","S. Curry makes 2-pt jump shot from 14 ft (assist by J. Poole)"
"427","2:58.0","J. Jackson makes 2-pt layup from 7 ft (assist by T. Jones)","+2","92-90","",""
"428","2:48.0","","","92-90","","S. Curry misses 3-pt jump shot from 27 ft"
"429","2:46.0","Defensive rebound by D. Brooks","","92-90","",""
"430","2:32.0","Personal foul by S. Curry (drawn by K. Anderson)","","92-90","",""
"431","2:32.0","K. Anderson misses free throw 1 of 2","","92-90","",""
"432","2:32.0","Offensive rebound by Team","","92-90","",""
"433","2:32.0","K. Anderson makes free throw 2 of 2","+1","93-90","",""
"434","2:21.0","","","93-90","","Turnover by K. Thompson (bad pass; steal by J. Jackson)"
"435","2:05.0","T. Jones misses 2-pt jump shot from 7 ft","","93-90","",""
"436","2:03.0","","","93-90","","Defensive rebound by S. Curry"
"437","1:51.0","","","93-90","","K. Thompson misses 2-pt layup from 6 ft (block by K. Anderson)"
"438","1:50.0","","","93-90","","Offensive rebound by Team"
"439","1:48.0","","","93-90","","A. Wiggins misses 3-pt jump shot from 28 ft"
"440","1:45.0","Defensive rebound by K. Anderson","","93-90","",""
"441","1:26.0","D. Brooks misses 2-pt layup from 9 ft (block by K. Thompson)","","93-90","",""
"442","1:23.0","","","93-90","","Defensive rebound by K. Thompson"
"443","1:11.0","","","93-90","","Personal foul by D. Bane (drawn by J. Poole)"
"444","1:11.0","","","93-91","+1","J. Poole makes free throw 1 of 2"
"445","1:11.0","","","93-92","+1","J. Poole makes free throw 2 of 2"
"446","0:53.0","D. Brooks misses 3-pt jump shot from 26 ft","","93-92","",""
"447","0:50.0","","","93-92","","Defensive rebound by D. Green"
"448","0:45.0","","","93-92","","Shooting foul by D. Brooks (drawn by S. Curry)"
"449","0:45.0","","","93-93","+1","S. Curry makes free throw 1 of 2"
"450","0:45.0","Z. Williams enters the game for K. Anderson","","93-93","",""
"451","0:45.0","","","93-93","","O. Porter enters the game for J. Poole"
"452","0:45.0","","","93-94","+1","S. Curry makes free throw 2 of 2"
"453","0:28.0","J. Jackson misses 2-pt jump shot from 8 ft","","93-94","",""
"454","0:25.0","","","93-94","","Defensive rebound by Team"
"455","0:25.0","Loose ball foul by D. Bane (drawn by S. Curry)","","93-94","",""
"456","0:25.0","","","93-95","+1","S. Curry makes free throw 1 of 2"
"457","0:25.0","S. Adams enters the game for T. Jones","","93-95","",""
"458","0:25.0","K. Anderson enters the game for Z. Williams","","93-95","",""
"459","0:25.0","","","93-96","+1","S. Curry makes free throw 2 of 2"
"460","0:25.0","Memphis full timeout","","93-96","",""
"461","0:25.0","T. Jones enters the game for K. Anderson","","93-96","",""
"462","0:20.0","D. Brooks makes 2-pt layup from 5 ft","+2","95-96","",""
"463","0:19.0","","","95-96","","Personal take foul by D. Brooks (drawn by S. Curry)"
"464","0:19.0","","","95-97","+1","S. Curry makes free throw 1 of 2"
"465","0:19.0","Z. Williams enters the game for S. Adams","","95-97","",""
"466","0:19.0","","","95-98","+1","S. Curry makes free throw 2 of 2"
"467","0:12.0","J. Jackson misses 3-pt jump shot from 29 ft","","95-98","",""
"468","0:09.0","","","95-98","","Defensive rebound by S. Curry"
"469","0:09.0","","","95-98","","Personal take foul by J. Jackson (drawn by S. Curry)"
"470","0:09.0","","","95-99","+1","S. Curry makes free throw 1 of 2"
"471","0:09.0","S. Adams enters the game for Z. Williams","","95-99","",""
"472","0:09.0","","","95-100","+1","S. Curry makes free throw 2 of 2"
"473","0:09.0","Memphis full timeout","","95-100","",""
"474","0:07.0","J. Jackson misses 3-pt jump shot from 26 ft","","95-100","",""
"475","0:05.0","","","95-100","","Defensive rebound by A. Wiggins"
"476","0:04.0","","","95-100","","Personal take foul by S. Adams (drawn by A. Wiggins)"
"477","0:04.0","","","95-101","+1","A. Wiggins makes free throw 1 of 2"
"478","0:04.0","","","95-101","","A. Wiggins misses free throw 2 of 2"
"479","0:03.0","Defensive rebound by J. Jackson","","95-101","",""
"480","0:00.0","D. Brooks makes 3-pt jump shot from 38 ft","+3","98-101","",""
"481","0:00.0","Instant Replay (Request: Ruling Stands)","","98-101","",""
"482","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
