"","Time","Dallas","","Score","","Golden State"
"350","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"351","Time","Dallas","","Score","","Golden State"
"352","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"353","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"354","Time","Dallas","","Score","","Golden State"
"355","0:00.0","","","85-83","","Instant Replay (Request: Ruling Stands)"
"356","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"357","Time","Dallas","","Score","","Golden State"
"358","12:00.0","D. Bertans enters the game for L. Doncic","","85-83","",""
"359","12:00.0","J. Brunson enters the game for M. Kleber","","85-83","",""
"360","12:00.0","","","85-83","","M. Moody enters the game for S. Curry"
"361","12:00.0","","","85-83","","K. Thompson enters the game for A. Wiggins"
"362","11:42.0","","","85-86","+3","O. Porter makes 3-pt jump shot from 23 ft (assist by K. Thompson)"
"363","11:21.0","Turnover by D. Bertans (bad pass; steal by O. Porter)","","85-86","",""
"364","11:13.0","","","85-86","","Turnover by  (8 sec)"
"365","11:13.0","M. Kleber enters the game for D. Finney-Smith","","85-86","",""
"366","11:07.0","Personal foul by O. Porter (drawn by S. Dinwiddie)","","85-86","",""
"367","11:01.0","J. Brunson misses 2-pt layup from 6 ft","","85-86","",""
"368","10:58.0","","","85-86","","Defensive rebound by O. Porter"
"369","10:40.0","","","85-88","+2","J. Poole makes 2-pt layup from 3 ft"
"370","10:23.0","Shooting foul by K. Thompson (drawn by J. Brunson)","","85-88","",""
"371","10:23.0","J. Brunson makes free throw 1 of 2","+1","86-88","",""
"372","10:23.0","D. Finney-Smith enters the game for D. Bertans","","86-88","",""
"373","10:23.0","J. Brunson makes free throw 2 of 2","+1","87-88","",""
"374","10:12.0","","","87-90","+2","K. Looney makes 2-pt dunk from 3 ft (assist by J. Poole)"
"375","9:50.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","90-90","",""
"376","9:29.0","","","90-90","","J. Poole misses 2-pt jump shot from 6 ft"
"377","9:27.0","Defensive rebound by J. Brunson","","90-90","",""
"378","9:20.0","S. Dinwiddie misses 2-pt jump shot from 10 ft","","90-90","",""
"379","9:19.0","","","90-90","","Defensive rebound by Team"
"380","9:19.0","Loose ball foul by M. Kleber (drawn by K. Looney)","","90-90","",""
"381","9:02.0","","","90-90","","K. Looney misses 2-pt layup from 6 ft (block by S. Dinwiddie)"
"382","9:00.0","","","90-90","","Offensive rebound by O. Porter"
"383","8:58.0","","","90-92","+2","O. Porter makes 2-pt layup at rim"
"384","8:45.0","S. Dinwiddie makes 2-pt layup from 7 ft","+2","92-92","",""
"385","8:29.0","","","92-94","+2","K. Looney makes 2-pt layup from 3 ft (assist by M. Moody)"
"386","8:02.0","J. Brunson misses 2-pt jump shot from 16 ft","","92-94","",""
"387","8:00.0","","","92-94","","Defensive rebound by K. Looney"
"388","7:48.0","","","92-97","+3","J. Poole makes 3-pt jump shot from 25 ft (assist by K. Looney)"
"389","7:48.0","Dallas full timeout","","92-97","",""
"390","7:48.0","L. Doncic enters the game for M. Kleber","","92-97","",""
"391","7:48.0","","","92-97","","A. Wiggins enters the game for K. Thompson"
"392","7:35.0","L. Doncic misses 2-pt layup from 6 ft (block by A. Wiggins)","","92-97","",""
"393","7:33.0","","","92-97","","Defensive rebound by J. Poole"
"394","7:21.0","","","92-99","+2","O. Porter makes 2-pt layup from 6 ft (assist by J. Poole)"
"395","7:21.0","","","92-99","","Shooting foul by D. Finney-Smith (drawn by O. Porter)"
"396","7:21.0","","","92-99","","O. Porter misses free throw 1 of 1"
"397","7:19.0","Defensive rebound by D. Finney-Smith","","92-99","",""
"398","7:07.0","Shooting foul by M. Moody (drawn by R. Bullock)","","92-99","",""
"399","7:07.0","R. Bullock makes free throw 1 of 2","+1","93-99","",""
"400","7:07.0","D. Powell enters the game for S. Dinwiddie","","93-99","",""
"401","7:07.0","R. Bullock makes free throw 2 of 2","+1","94-99","",""
"402","6:51.0","","","94-99","","Shooting foul by R. Bullock (drawn by J. Poole)"
"403","6:51.0","","","94-100","+1","J. Poole makes free throw 1 of 3"
"404","6:51.0","","","94-101","+1","J. Poole makes free throw 2 of 3"
"405","6:51.0","","","94-102","+1","J. Poole makes free throw 3 of 3"
"406","6:51.0","","","94-102","","K. Thompson enters the game for O. Porter"
"407","6:33.0","Personal foul by J. Poole (drawn by L. Doncic)","","94-102","",""
"408","6:33.0","","","94-102","","D. Green enters the game for K. Looney"
"409","6:24.0","Shooting foul by K. Thompson (drawn by L. Doncic)","","94-102","",""
"410","6:24.0","L. Doncic makes free throw 1 of 2","+1","95-102","",""
"411","6:24.0","M. Kleber enters the game for D. Powell","","95-102","",""
"412","6:24.0","","","95-102","","S. Curry enters the game for J. Poole"
"413","6:24.0","L. Doncic makes free throw 2 of 2","+1","96-102","",""
"414","6:04.0","","","96-105","+3","D. Green makes 3-pt jump shot from 26 ft (assist by A. Wiggins)"
"415","5:47.0","L. Doncic makes 2-pt jump shot from 8 ft","+2","98-105","",""
"416","5:27.0","","","98-105","","D. Green misses 3-pt jump shot from 26 ft"
"417","5:25.0","Defensive rebound by J. Brunson","","98-105","",""
"418","5:12.0","L. Doncic misses 2-pt layup from 5 ft","","98-105","",""
"419","5:12.0","","","98-105","","Defensive rebound by Team"
"420","5:12.0","Loose ball foul by M. Kleber (drawn by D. Green)","","98-105","",""
"421","4:59.0","","","98-107","+2","S. Curry makes 2-pt layup from 7 ft"
"422","4:49.0","Shooting foul by A. Wiggins (drawn by L. Doncic)","","98-107","",""
"423","4:49.0","L. Doncic makes free throw 1 of 2","+1","99-107","",""
"424","4:49.0","L. Doncic makes free throw 2 of 2","+1","100-107","",""
"425","4:36.0","","","100-107","","A. Wiggins misses 3-pt jump shot from 23 ft"
"426","4:33.0","","","100-107","","Offensive rebound by A. Wiggins"
"427","4:32.0","","","100-110","+3","K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Wiggins)"
"428","4:17.0","L. Doncic makes 3-pt jump shot from 29 ft (assist by J. Brunson)","+3","103-110","",""
"429","3:52.0","","","103-112","+2","K. Thompson makes 2-pt dunk from 3 ft (assist by D. Green)"
"430","3:52.0","Dallas full timeout","","103-112","",""
"431","3:36.0","L. Doncic makes 3-pt jump shot from 30 ft","+3","106-112","",""
"432","3:10.0","","","106-114","+2","M. Moody makes 2-pt layup from 4 ft (assist by S. Curry)"
"433","2:48.0","J. Brunson makes 2-pt layup from 6 ft","+2","108-114","",""
"434","2:28.0","","","108-116","+2","S. Curry makes 2-pt layup from 5 ft"
"435","2:25.0","Personal foul by D. Green (drawn by L. Doncic)","","108-116","",""
"436","2:25.0","","","108-116","","K. Looney enters the game for D. Green"
"437","2:25.0","","","108-116","","J. Poole enters the game for M. Moody"
"438","2:25.0","L. Doncic makes free throw 1 of 2","+1","109-116","",""
"439","2:25.0","L. Doncic makes free throw 2 of 2","+1","110-116","",""
"440","2:07.0","","","110-118","+2","S. Curry makes 2-pt layup from 5 ft (assist by A. Wiggins)"
"441","2:07.0","","","110-118","","Shooting foul by L. Doncic (drawn by S. Curry)"
"442","2:07.0","","","110-119","+1","S. Curry makes free throw 1 of 1"
"443","1:58.0","J. Brunson makes 2-pt layup from 7 ft","+2","112-119","",""
"444","1:58.0","Shooting foul by S. Curry (drawn by J. Brunson)","","112-119","",""
"445","1:58.0","J. Brunson misses free throw 1 of 1","","112-119","",""
"446","1:54.0","","","112-119","","Defensive rebound by K. Looney"
"447","1:39.0","","","112-119","","Turnover by S. Curry (bad pass; steal by L. Doncic)"
"448","1:30.0","L. Doncic misses 3-pt jump shot from 30 ft","","112-119","",""
"449","1:26.0","","","112-119","","Defensive rebound by K. Looney"
"450","1:04.0","","","112-122","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by K. Thompson)"
"451","0:54.0","R. Bullock makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","115-122","",""
"452","0:36.0","","","115-122","","Personal take foul by R. Bullock (drawn by J. Poole)"
"453","0:36.0","","","115-123","+1","J. Poole makes free throw 1 of 2"
"454","0:36.0","","","115-124","+1","J. Poole makes free throw 2 of 2"
"455","0:36.0","Dallas full timeout","","115-124","",""
"456","0:36.0","","","115-124","","M. Moody enters the game for S. Curry"
"457","0:36.0","","","115-124","","O. Porter enters the game for J. Poole"
"458","0:36.0","Turnover by D. Finney-Smith (bad pass)","","115-124","",""
"459","0:36.0","","","115-124","","S. Curry enters the game for K. Looney"
"460","0:36.0","","","115-124","","J. Poole enters the game for M. Moody"
"461","0:31.0","","","115-124","","Personal take foul by J. Brunson (drawn by J. Poole)"
"462","0:31.0","","","115-125","+1","J. Poole makes free throw 1 of 2"
"463","0:31.0","","","115-125","","K. Looney enters the game for S. Curry"
"464","0:31.0","","","115-126","+1","J. Poole makes free throw 2 of 2"
"465","0:25.0","J. Brunson makes 2-pt jump shot from 7 ft","+2","117-126","",""
"466","0:01.0","","","117-126","","Turnover by Team (shot clock)"
"467","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
