"","Time","Golden State","","Score","","Dallas"
"81","3:08.0","Defensive rebound by A. Wiggins","","18-19","",""
"82","3:04.0","Shooting foul by M. Kleber (drawn by J. Kuminga)","","18-19","",""
"83","3:04.0","J. Kuminga makes free throw 1 of 2","+1","19-19","",""
"84","3:04.0","","","19-19","","D. Finney-Smith enters the game for M. Kleber"
"85","3:04.0","J. Kuminga misses free throw 2 of 2","","19-19","",""
"86","3:02.0","","","19-19","","Defensive rebound by L. Doncic"
"87","2:43.0","","","19-19","","D. Finney-Smith misses 2-pt hook shot from 6 ft"
"88","2:41.0","Defensive rebound by D. Green","","19-19","",""
"89","2:27.0","Turnover by D. Green (bad pass)","","19-19","",""
"90","2:14.0","","","19-22","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"91","2:03.0","A. Wiggins misses 3-pt jump shot from 25 ft","","19-22","",""
"92","2:00.0","","","19-22","","Defensive rebound by S. Dinwiddie"
"93","1:49.0","","","19-22","","L. Doncic misses 3-pt jump shot from 26 ft"
"94","1:45.0","Defensive rebound by D. Green","","19-22","",""
"95","1:38.0","Personal foul by F. Ntilikina (drawn by S. Curry)","","19-22","",""
"96","1:38.0","S. Curry misses free throw 1 of 2","","19-22","",""
"97","1:38.0","Offensive rebound by Team","","19-22","",""
"98","1:38.0","K. Looney enters the game for D. Green","","19-22","",""
"99","1:38.0","","","19-22","","D. Powell enters the game for F. Ntilikina"
"100","1:38.0","S. Curry makes free throw 2 of 2","+1","20-22","",""
"101","1:21.0","","","20-25","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"102","1:00.0","J. Kuminga misses 3-pt jump shot from 25 ft","","20-25","",""
"103","0:58.0","","","20-25","","Defensive rebound by D. Powell"
"104","0:52.0","","","20-25","","Offensive foul by S. Dinwiddie (drawn by A. Wiggins)"
"105","0:52.0","","","20-25","","Turnover by S. Dinwiddie (offensive foul)"
"106","0:45.0","Personal foul by R. Bullock (drawn by S. Curry)","","20-25","",""
"107","0:45.0","S. Curry makes free throw 1 of 2","+1","21-25","",""
"108","0:45.0","S. Curry makes free throw 2 of 2","+1","22-25","",""
"109","0:31.0","","","22-28","+3","L. Doncic makes 3-pt jump shot from 30 ft"
"110","0:10.0","S. Curry makes 2-pt jump shot from 13 ft","+2","24-28","",""
"111","0:01.0","","","24-28","","Turnover by L. Doncic (back court)"
"112","0:01.0","K. Thompson enters the game for J. Kuminga","","24-28","",""
"113","0:00.0","K. Thompson misses 3-pt jump shot from 26 ft","","24-28","",""
"114","0:00.0","Offensive rebound by Team","","24-28","",""
"115","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"116","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"117","Time","Golden State","","Score","","Dallas"
"118","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"119","11:54.0","","","24-28","","D. Bertans misses 3-pt jump shot from 26 ft"
"120","11:50.0","Defensive rebound by J. Kuminga","","24-28","",""
"121","11:40.0","J. Poole makes 3-pt jump shot from 26 ft","+3","27-28","",""
"122","11:27.0","","","27-28","","Shooting foul by J. Poole (drawn by J. Brunson)"
"123","11:27.0","","","27-29","+1","J. Brunson makes free throw 1 of 2"
"124","11:27.0","","","27-29","","J. Brunson misses free throw 2 of 2"
"125","11:25.0","Defensive rebound by J. Kuminga","","27-29","",""
