"","Time","Golden State","","Score","","Dallas"
"350","10:42.0","J. Kuminga makes 2-pt dunk from 1 ft (assist by N. Bjelica)","+2","75-99","",""
"351","10:29.0","","","75-99","","J. Brunson misses 2-pt jump shot from 20 ft"
"352","10:26.0","Defensive rebound by N. Bjelica","","75-99","",""
"353","10:03.0","D. Lee misses 2-pt jump shot from 12 ft","","75-99","",""
"354","10:00.0","Offensive rebound by D. Lee","","75-99","",""
"355","10:00.0","D. Lee makes 2-pt layup from 3 ft","+2","77-99","",""
"356","9:48.0","","","77-99","","D. Bertans misses 3-pt jump shot from 25 ft"
"357","9:46.0","Defensive rebound by N. Bjelica","","77-99","",""
"358","9:32.0","M. Moody makes 2-pt dunk from 1 ft (assist by N. Bjelica)","+2","79-99","",""
"359","9:32.0","","","79-99","","Dallas full timeout"
"360","9:32.0","","","79-99","","R. Bullock enters the game for J. Green"
"361","9:32.0","","","79-99","","D. Finney-Smith enters the game for F. Ntilikina"
"362","9:20.0","","","79-101","+2","D. Finney-Smith makes 2-pt dunk from 1 ft (assist by S. Dinwiddie)"
"363","9:04.0","J. Kuminga makes 2-pt jump shot from 3 ft (assist by J. Poole)","+2","81-101","",""
"364","8:48.0","","","81-101","","Turnover by D. Finney-Smith (bad pass; steal by M. Moody)"
"365","8:39.0","N. Bjelica makes 2-pt layup from 1 ft (assist by D. Lee)","+2","83-101","",""
"366","8:39.0","","","83-101","","M. Kleber enters the game for D. Bertans"
"367","8:10.0","","","83-101","","D. Finney-Smith misses 3-pt jump shot from 24 ft"
"368","8:07.0","Defensive rebound by D. Lee","","83-101","",""
"369","8:01.0","Shooting foul by D. Finney-Smith (drawn by J. Poole)","","83-101","",""
"370","8:01.0","J. Poole makes free throw 1 of 2","+1","84-101","",""
"371","8:01.0","J. Poole makes free throw 2 of 2","+1","85-101","",""
"372","7:47.0","","","85-101","","Turnover by S. Dinwiddie (lost ball; steal by M. Moody)"
"373","7:28.0","J. Kuminga misses 2-pt jump shot from 4 ft","","85-101","",""
"374","7:27.0","","","85-101","","Defensive rebound by M. Kleber"
"375","7:23.0","","","85-101","","Shooting foul by N. Bjelica (drawn by S. Dinwiddie)"
"376","7:23.0","","","85-102","+1","S. Dinwiddie makes free throw 1 of 2"
"377","7:23.0","","","85-102","","L. Doncic enters the game for J. Brunson"
"378","7:23.0","","","85-103","+1","S. Dinwiddie makes free throw 2 of 2"
"379","7:11.0","N. Bjelica makes 2-pt layup from 2 ft","+2","87-103","",""
"380","6:47.0","","","87-103","","R. Bullock misses 3-pt jump shot from 23 ft"
"381","6:46.0","","","87-103","","Offensive rebound by M. Kleber"
"382","6:44.0","","","87-103","","Violation by Team (delay of game)"
"383","6:33.0","","","87-103","","S. Dinwiddie misses 2-pt jump shot from 8 ft"
"384","6:32.0","Defensive rebound by J. Kuminga","","87-103","",""
"385","6:27.0","Turnover by J. Kuminga (lost ball; steal by L. Doncic)","","87-103","",""
"386","6:21.0","","","87-105","+2","M. Kleber makes 2-pt dunk at rim (assist by S. Dinwiddie)"
"387","6:11.0","J. Poole makes 2-pt layup from 2 ft","+2","89-105","",""
"388","5:57.0","","","89-107","+2","L. Doncic makes 2-pt layup from 1 ft"
"389","5:44.0","J. Poole misses 2-pt jump shot from 11 ft","","89-107","",""
"390","5:41.0","","","89-107","","Defensive rebound by S. Dinwiddie"
"391","5:33.0","","","89-107","","L. Doncic misses 2-pt jump shot from 5 ft"
"392","5:33.0","Defensive rebound by J. Kuminga","","89-107","",""
"393","5:25.0","D. Lee makes 2-pt layup at rim (assist by N. Bjelica)","+2","91-107","",""
"394","5:10.0","","","91-107","","Shooting foul by N. Bjelica (drawn by L. Doncic)"
"395","5:10.0","","","91-108","+1","L. Doncic makes free throw 1 of 2"
"396","5:10.0","Golden State full timeout","","91-108","",""
"397","5:10.0","","","91-108","","J. Brunson enters the game for S. Dinwiddie"
"398","5:10.0","","","91-108","","L. Doncic misses free throw 2 of 2"
"399","5:09.0","Defensive rebound by Team","","91-108","",""
"400","4:54.0","M. Moody makes 3-pt jump shot from 25 ft (assist by J. Poole)","+3","94-108","",""
"401","4:36.0","","","94-110","+2","L. Doncic makes 2-pt jump shot from 2 ft (assist by J. Brunson)"
"402","4:25.0","M. Moody makes 3-pt jump shot from 24 ft (assist by J. Poole)","+3","97-110","",""
"403","3:59.0","","","97-110","","L. Doncic misses 3-pt jump shot from 35 ft"
"404","3:57.0","Defensive rebound by J. Kuminga","","97-110","",""
"405","3:54.0","Shooting foul by M. Kleber (drawn by J. Kuminga)","","97-110","",""
"406","3:54.0","J. Kuminga makes free throw 1 of 2","+1","98-110","",""
"407","3:54.0","J. Kuminga makes free throw 2 of 2","+1","99-110","",""
"408","3:41.0","","","99-110","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"409","3:39.0","Defensive rebound by M. Moody","","99-110","",""
"410","3:23.0","J. Kuminga makes 3-pt jump shot from 22 ft (assist by J. Poole)","+3","102-110","",""
"411","3:22.0","","","102-110","","Dallas full timeout"
"412","3:22.0","S. Curry enters the game for D. Lee","","102-110","",""
"413","3:09.0","","","102-112","+2","L. Doncic makes 2-pt dunk at rim (assist by J. Brunson)"
"414","3:03.0","Offensive foul by J. Kuminga (drawn by J. Brunson)","","102-112","",""
"415","3:03.0","Turnover by J. Kuminga (offensive foul)","","102-112","",""
"416","3:03.0","Golden State full timeout","","102-112","",""
"417","3:03.0","Instant Replay (Challenge: Stands)","","102-112","",""
"418","3:03.0","K. Thompson enters the game for J. Kuminga","","102-112","",""
"419","3:03.0","A. Wiggins enters the game for M. Moody","","102-112","",""
"420","2:43.0","","","102-115","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"421","2:27.0","A. Wiggins makes 3-pt jump shot from 23 ft (assist by S. Curry)","+3","105-115","",""
"422","2:02.0","","","105-115","","J. Brunson misses 2-pt layup from 1 ft"
"423","2:02.0","Defensive rebound by Team","","105-115","",""
"424","2:02.0","","","105-115","","Loose ball foul by J. Brunson (drawn by S. Curry)"
"425","1:50.0","J. Poole misses 2-pt layup from 2 ft (block by M. Kleber)","","105-115","",""
"426","1:49.0","","","105-115","","Defensive rebound by M. Kleber"
"427","1:45.0","Violation by Team (kicked ball)","","105-115","",""
"428","1:25.0","","","105-117","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Doncic)"
"429","1:21.0","K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry)","+2","107-117","",""
"430","1:03.0","","","107-117","","Personal foul by J. Poole (drawn by J. Brunson)"
"431","1:03.0","M. Moody enters the game for J. Poole","","107-117","",""
"432","0:54.0","","","107-117","","Personal foul by A. Wiggins (drawn by L. Doncic)"
"433","0:54.0","","","107-118","+1","L. Doncic makes free throw 1 of 2"
"434","0:54.0","","","107-118","","F. Ntilikina enters the game for M. Kleber"
"435","0:54.0","","","107-119","+1","L. Doncic makes free throw 2 of 2"
"436","0:46.0","S. Curry makes 2-pt layup from 1 ft","+2","109-119","",""
"437","0:22.0","","","109-119","","Turnover by D. Finney-Smith (lost ball; steal by K. Thompson)"
"438","0:17.0","M. Moody misses 2-pt layup from 2 ft (block by L. Doncic)","","109-119","",""
"439","0:14.0","","","109-119","","Defensive rebound by J. Brunson"
"440","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
