"","Time","Dallas","","Score","","Phoenix"
"94","0:00.0","S. Dinwiddie misses 3-pt jump shot from 37 ft","","27-17","",""
"95","0:00.0","Offensive rebound by Team","","27-17","",""
"96","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"97","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"98","Time","Dallas","","Score","","Phoenix"
"99","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"100","11:45.0","","","27-19","+2","J. McGee makes 2-pt layup from 4 ft (assist by L. Shamet)"
"101","11:20.0","D. Bertans misses 3-pt jump shot from 25 ft","","27-19","",""
"102","11:17.0","","","27-19","","Defensive rebound by C. Johnson"
"103","11:05.0","","","27-19","","J. McGee misses 2-pt layup from 5 ft"
"104","11:02.0","Defensive rebound by J. Brunson","","27-19","",""
"105","10:48.0","D. Bertans misses 3-pt jump shot from 29 ft","","27-19","",""
"106","10:43.0","","","27-19","","Defensive rebound by L. Shamet"
"107","10:40.0","","","27-19","","Turnover by L. Shamet (bad pass)"
"108","10:40.0","","","27-19","","Loose ball foul by L. Shamet (drawn by S. Dinwiddie)"
"109","10:20.0","F. Ntilikina misses 2-pt layup from 3 ft","","27-19","",""
"110","10:18.0","","","27-19","","Defensive rebound by J. McGee"
"111","10:14.0","","","27-19","","Shooting foul by J. Brunson (drawn by C. Paul)"
"112","10:14.0","","","27-20","+1","C. Paul makes free throw 1 of 2"
"113","10:14.0","R. Bullock enters the game for D. Bertans","","27-20","",""
"114","10:14.0","","","27-20","","C. Paul misses free throw 2 of 2"
"115","10:11.0","Defensive rebound by S. Dinwiddie","","27-20","",""
"116","9:58.0","Shooting foul by C. Johnson (drawn by S. Dinwiddie)","","27-20","",""
"117","9:58.0","S. Dinwiddie makes free throw 1 of 2","+1","28-20","",""
"118","9:58.0","S. Dinwiddie makes free throw 2 of 2","+1","29-20","",""
"119","9:40.0","","","29-20","","C. Johnson misses 3-pt jump shot from 25 ft (block by S. Dinwiddie)"
"120","9:36.0","","","29-20","","Offensive rebound by T. Craig"
"121","9:36.0","","","29-22","+2","T. Craig makes 2-pt layup from 3 ft"
"122","9:22.0","J. Brunson makes 2-pt jump shot from 7 ft","+2","31-22","",""
"123","9:15.0","","","31-22","","T. Craig misses 2-pt jump shot from 8 ft (block by M. Kleber)"
"124","9:12.0","Defensive rebound by S. Dinwiddie","","31-22","",""
"125","9:08.0","S. Dinwiddie makes 3-pt jump shot from 26 ft","+3","34-22","",""
"126","9:07.0","","","34-22","","Phoenix full timeout"
"127","9:07.0","","","34-22","","D. Booker enters the game for L. Shamet"
"128","8:55.0","","","34-22","","Personal foul by M. Kleber (drawn by J. McGee)"
"129","8:46.0","","","34-22","","Turnover by T. Craig (bad pass; steal by R. Bullock)"
"130","8:42.0","F. Ntilikina misses 3-pt jump shot from 27 ft","","34-22","",""
"131","8:39.0","","","34-22","","Defensive rebound by T. Craig"
"132","8:29.0","","","34-22","","T. Craig misses 3-pt jump shot from 26 ft"
"133","8:25.0","Defensive rebound by F. Ntilikina","","34-22","",""
"134","8:16.0","J. Brunson misses 2-pt jump shot from 6 ft","","34-22","",""
"135","8:15.0","Offensive rebound by J. Brunson","","34-22","",""
"136","8:14.0","J. Brunson misses 2-pt layup from 4 ft","","34-22","",""
"137","8:13.0","","","34-22","","Defensive rebound by C. Johnson"
"138","8:07.0","","","34-22","","C. Johnson misses 2-pt layup from 3 ft"
"139","8:05.0","Defensive rebound by F. Ntilikina","","34-22","",""
"140","8:00.0","R. Bullock misses 3-pt jump shot from 24 ft","","34-22","",""
"141","7:56.0","","","34-22","","Defensive rebound by T. Craig"
"142","7:51.0","","","34-22","","Personal foul by J. Brunson (drawn by C. Paul)"
"143","7:51.0","D. Finney-Smith enters the game for F. Ntilikina","","34-22","",""
"144","7:51.0","","","34-22","","D. Ayton enters the game for T. Craig"
"145","7:51.0","","","34-22","","M. Bridges enters the game for C. Johnson"
"146","7:51.0","","","34-22","","J. Crowder enters the game for J. McGee"
"147","7:42.0","","","34-22","","D. Booker misses 2-pt jump shot from 8 ft"
"148","7:39.0","Defensive rebound by J. Brunson","","34-22","",""
"149","7:17.0","S. Dinwiddie misses 2-pt jump shot from 16 ft","","34-22","",""
"150","7:16.0","","","34-22","","Defensive rebound by D. Ayton"
"151","7:02.0","","","34-22","","D. Ayton misses 2-pt hook shot from 3 ft"
"152","7:00.0","","","34-22","","Offensive rebound by D. Ayton"
"153","7:00.0","","","34-22","","D. Ayton misses 2-pt layup from 1 ft"
"154","6:58.0","Defensive rebound by S. Dinwiddie","","34-22","",""
"155","6:40.0","S. Dinwiddie makes 3-pt jump shot from 27 ft","+3","37-22","",""
"156","6:24.0","","","37-22","","Personal foul by D. Finney-Smith (drawn by C. Paul)"
"157","6:24.0","L. Doncic enters the game for S. Dinwiddie","","37-22","",""
"158","6:14.0","","","37-22","","Turnover by D. Booker (bad pass; steal by J. Brunson)"
"159","6:00.0","L. Doncic makes 2-pt jump shot from 13 ft","+2","39-22","",""
"160","5:53.0","","","39-22","","Shooting foul by L. Doncic (drawn by D. Ayton)"
"161","5:53.0","","","39-22","","D. Ayton misses free throw 1 of 2"
"162","5:53.0","","","39-22","","Offensive rebound by Team"
"163","5:53.0","S. Dinwiddie enters the game for J. Brunson","","39-22","",""
"164","5:53.0","D. Powell enters the game for M. Kleber","","39-22","",""
"165","5:53.0","","","39-23","+1","D. Ayton makes free throw 2 of 2"
"166","5:28.0","Turnover by Team (shot clock)","","39-23","",""
"167","5:20.0","","","39-23","","Offensive foul by D. Ayton (drawn by D. Finney-Smith)"
"168","5:20.0","","","39-23","","Turnover by D. Ayton (offensive foul)"
"169","5:10.0","S. Dinwiddie makes 2-pt jump shot from 11 ft","+2","41-23","",""
"170","4:47.0","","","41-23","","C. Paul misses 3-pt jump shot from 24 ft"
"171","4:43.0","Defensive rebound by L. Doncic","","41-23","",""
"172","4:38.0","Offensive foul by D. Powell (drawn by M. Bridges)","","41-23","",""
"173","4:38.0","Turnover by D. Powell (offensive foul)","","41-23","",""
"174","4:21.0","","","41-25","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"175","4:08.0","Shooting foul by D. Ayton (drawn by L. Doncic)","","41-25","",""
"176","4:08.0","L. Doncic makes free throw 1 of 2","+1","42-25","",""
"177","4:08.0","L. Doncic makes free throw 2 of 2","+1","43-25","",""
"178","3:57.0","","","43-25","","Offensive foul by D. Ayton (drawn by D. Powell)"
"179","3:57.0","","","43-25","","Turnover by D. Ayton (offensive foul)"
"180","3:57.0","","","43-25","","B. Biyombo enters the game for D. Ayton"
"181","3:48.0","Personal foul by B. Biyombo (drawn by D. Powell)","","43-25","",""
"182","3:39.0","L. Doncic makes 2-pt layup from 2 ft","+2","45-25","",""
"183","3:39.0","Shooting foul by B. Biyombo (drawn by L. Doncic)","","45-25","",""
"184","3:39.0","L. Doncic makes free throw 1 of 1","+1","46-25","",""
"185","3:19.0","","","46-25","","M. Bridges misses 2-pt jump shot from 14 ft"
"186","3:13.0","Defensive rebound by R. Bullock","","46-25","",""
"187","3:13.0","M. Kleber enters the game for D. Powell","","46-25","",""
"188","3:03.0","Jump ball: D. Finney-Smith vs. J. Crowder (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. J. Crowder (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. J. Crowder (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. J. Crowder (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. J. Crowder (L. Doncic gains possession)"
"189","2:45.0","Personal foul by C. Paul (drawn by L. Doncic)","","46-25","",""
"190","2:45.0","Dallas full timeout","","46-25","",""
"191","2:45.0","","","46-25","","C. Johnson enters the game for B. Biyombo"
"192","2:45.0","L. Doncic makes free throw 1 of 2","+1","47-25","",""
"193","2:45.0","L. Doncic makes free throw 2 of 2","+1","48-25","",""
"194","2:29.0","","","48-25","","M. Bridges misses 2-pt jump shot from 13 ft"
"195","2:27.0","","","48-25","","Offensive rebound by C. Johnson"
"196","2:17.0","","","48-27","+2","M. Bridges makes 2-pt layup from 1 ft (assist by C. Johnson)"
"197","1:58.0","S. Dinwiddie makes 2-pt layup from 3 ft","+2","50-27","",""
"198","1:58.0","Shooting foul by D. Booker (drawn by S. Dinwiddie)","","50-27","",""
"199","1:58.0","S. Dinwiddie makes free throw 1 of 1","+1","51-27","",""
"200","1:39.0","","","51-27","","J. Crowder misses 3-pt jump shot from 25 ft"
"201","1:36.0","Defensive rebound by M. Kleber","","51-27","",""
"202","1:28.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","54-27","",""
"203","1:08.0","","","54-27","","D. Booker misses 3-pt jump shot from 26 ft"
"204","1:06.0","Defensive rebound by M. Kleber","","54-27","",""
"205","0:50.0","L. Doncic makes 3-pt jump shot from 28 ft","+3","57-27","",""
"206","0:36.0","","","57-27","","C. Paul misses 3-pt jump shot from 27 ft"
"207","0:33.0","Defensive rebound by R. Bullock","","57-27","",""
"208","0:15.0","L. Doncic misses 3-pt jump shot from 28 ft","","57-27","",""
"209","0:13.0","Offensive rebound by M. Kleber","","57-27","",""
"210","0:01.0","S. Dinwiddie misses 2-pt jump shot from 22 ft","","57-27","",""
"211","0:01.0","","","57-27","","Defensive rebound by J. Crowder"
"212","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"213","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"214","Time","Dallas","","Score","","Phoenix"
"215","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"216","11:40.0","","","57-27","","J. Crowder misses 3-pt jump shot from 24 ft"
"217","11:37.0","Defensive rebound by D. Finney-Smith","","57-27","",""
"218","11:16.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","59-27","",""
"219","11:11.0","","","59-27","","Personal foul by R. Bullock (drawn by D. Booker)"
"220","11:06.0","","","59-27","","Shooting foul by D. Finney-Smith (drawn by D. Ayton)"
"221","11:06.0","","","59-27","","D. Ayton misses free throw 1 of 2"
"222","11:06.0","","","59-27","","Offensive rebound by Team"
"223","11:06.0","","","59-27","","D. Ayton misses free throw 2 of 2"
"224","11:03.0","Defensive rebound by D. Powell","","59-27","",""
"225","10:42.0","J. Brunson makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith)","+3","62-27","",""
"226","10:26.0","","","62-27","","Turnover by D. Booker (bad pass; steal by L. Doncic)"
"227","10:20.0","Dallas full timeout","","62-27","",""
"228","10:20.0","Instant Replay (Challenge: Ruling Stands)","","62-27","",""
"229","10:10.0","L. Doncic makes 3-pt jump shot from 28 ft","+3","65-27","",""
"230","9:45.0","","","65-29","+2","D. Ayton makes 2-pt hook shot from 4 ft"
"231","9:29.0","Personal foul by M. Bridges (drawn by J. Brunson)","","65-29","",""
"232","9:23.0","Turnover by L. Doncic (bad pass; steal by D. Ayton)","","65-29","",""
"233","9:21.0","","","65-31","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by D. Ayton)"
"234","9:06.0","J. Brunson makes 2-pt jump shot from 6 ft","+2","67-31","",""
"235","8:59.0","","","67-31","","M. Bridges misses 3-pt jump shot from 25 ft"
"236","8:57.0","Defensive rebound by D. Finney-Smith","","67-31","",""
"237","8:44.0","J. Brunson makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith)","+3","70-31","",""
"238","8:26.0","","","70-31","","Shooting foul by D. Finney-Smith (drawn by D. Booker)"
"239","8:26.0","","","70-32","+1","D. Booker makes free throw 1 of 2"
"240","8:26.0","","","70-32","","B. Biyombo enters the game for D. Ayton"
"241","8:26.0","","","70-32","","D. Booker misses free throw 2 of 2"
"242","8:23.0","Defensive rebound by D. Finney-Smith","","70-32","",""
"243","8:11.0","J. Brunson misses 2-pt jump shot from 18 ft","","70-32","",""
"244","8:10.0","","","70-32","","Defensive rebound by Team"
"245","8:10.0","Loose ball foul by D. Powell (drawn by B. Biyombo)","","70-32","",""
"246","8:00.0","","","70-32","","D. Booker misses 2-pt layup from 4 ft"
"247","8:00.0","Defensive rebound by Team","","70-32","",""
"248","8:00.0","","","70-32","","Loose ball foul by D. Booker (drawn by D. Powell)"
"249","7:44.0","D. Powell makes 2-pt dunk from 2 ft (assist by J. Brunson)","+2","72-32","",""
"250","7:26.0","","","72-34","+2","C. Paul makes 2-pt jump shot from 12 ft (assist by M. Bridges)"
"251","7:04.0","L. Doncic misses 3-pt jump shot from 27 ft","","72-34","",""
"252","6:59.0","Offensive rebound by J. Brunson","","72-34","",""
"253","6:56.0","Turnover by D. Finney-Smith (bad pass; steal by B. Biyombo)","","72-34","",""
"254","6:52.0","","","72-34","","Turnover by D. Booker (lost ball; steal by D. Finney-Smith)"
"255","6:45.0","R. Bullock makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith)","+3","75-34","",""
"256","6:23.0","","","75-34","","D. Booker misses 3-pt jump shot from 25 ft"
"257","6:20.0","Defensive rebound by D. Powell","","75-34","",""
"258","6:02.0","L. Doncic misses 2-pt layup from 3 ft (block by B. Biyombo)","","75-34","",""
"259","6:00.0","Offensive rebound by L. Doncic","","75-34","",""
"260","5:57.0","D. Finney-Smith misses 2-pt jump shot from 22 ft","","75-34","",""
"261","5:54.0","","","75-34","","Defensive rebound by J. Crowder"
"262","5:54.0","","","75-34","","Personal take foul by R. Bullock (drawn by D. Booker)"
"263","5:54.0","","","75-35","+1","D. Booker makes free throw 1 of 2"
"264","5:54.0","M. Kleber enters the game for D. Powell","","75-35","",""
"265","5:54.0","","","75-35","","C. Johnson enters the game for J. Crowder"
"266","5:54.0","","","75-35","","C. Payne enters the game for C. Paul"
"267","5:54.0","","","75-36","+1","D. Booker makes free throw 2 of 2"
"268","5:41.0","Personal foul by C. Payne (drawn by J. Brunson)","","75-36","",""
"269","5:27.0","L. Doncic misses 2-pt jump shot from 7 ft","","75-36","",""
"270","5:26.0","","","75-36","","Defensive rebound by C. Johnson"
"271","5:26.0","","","75-36","","Personal foul by L. Doncic (drawn by C. Johnson)"
"272","5:26.0","","","75-37","+1","C. Johnson makes free throw 1 of 2"
"273","5:26.0","","","75-38","+1","C. Johnson makes free throw 2 of 2"
"274","5:14.0","D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Doncic)","+3","78-38","",""
"275","5:00.0","","","78-40","+2","D. Booker makes 2-pt jump shot from 13 ft (assist by C. Payne)"
"276","4:50.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","80-40","",""
"277","4:39.0","","","80-42","+2","C. Payne makes 2-pt layup from 3 ft (assist by B. Biyombo)"
"278","4:17.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","83-42","",""
"279","3:59.0","","","83-45","+3","C. Payne makes 3-pt jump shot from 26 ft"
"280","3:40.0","J. Brunson misses 2-pt jump shot from 12 ft","","83-45","",""
"281","3:39.0","","","83-45","","Defensive rebound by C. Payne"
"282","3:32.0","","","83-45","","C. Payne misses 3-pt jump shot from 27 ft"
"283","3:28.0","","","83-45","","Offensive rebound by B. Biyombo"
"284","3:26.0","","","83-47","+2","D. Booker makes 2-pt layup from 2 ft (assist by B. Biyombo)"
"285","3:09.0","Personal foul by C. Johnson (drawn by L. Doncic)","","83-47","",""
"286","3:09.0","S. Dinwiddie enters the game for J. Brunson","","83-47","",""
"287","2:56.0","S. Dinwiddie makes 2-pt layup from 4 ft","+2","85-47","",""
"288","2:56.0","","","85-47","","Violation by Team (def goaltending)"
"289","2:42.0","","","85-47","","M. Bridges misses 3-pt jump shot from 25 ft"
"290","2:40.0","Defensive rebound by Team","","85-47","",""
"291","2:40.0","","","85-47","","Loose ball foul by C. Johnson (drawn by R. Bullock)"
"292","2:40.0","Dallas full timeout","","85-47","",""
"293","2:40.0","R. Bullock makes free throw 1 of 2","+1","86-47","",""
"294","2:40.0","R. Bullock makes free throw 2 of 2","+1","87-47","",""
"295","2:23.0","Violation by Team (kicked ball)","","87-47","",""
"296","2:20.0","","","87-47","","Personal foul by D. Finney-Smith (drawn by B. Biyombo)"
"297","2:20.0","","","87-47","","B. Biyombo misses free throw 1 of 2"
"298","2:20.0","","","87-47","","Offensive rebound by Team"
"299","2:20.0","D. Bertans enters the game for D. Finney-Smith","","87-47","",""
"300","2:20.0","","","87-48","+1","B. Biyombo makes free throw 2 of 2"
"301","2:02.0","L. Doncic makes 2-pt layup from 3 ft","+2","89-48","",""
"302","1:50.0","","","89-48","","C. Payne misses 2-pt jump shot from 4 ft"
"303","1:45.0","","","89-48","","Offensive rebound by C. Payne"
"304","1:44.0","","","89-48","","C. Payne misses 2-pt layup from 2 ft"
"305","1:42.0","Defensive rebound by M. Kleber","","89-48","",""
"306","1:29.0","","","89-48","","Violation by Team (kicked ball)"
"307","1:20.0","L. Doncic misses 3-pt jump shot from 26 ft","","89-48","",""
"308","1:16.0","","","89-48","","Defensive rebound by D. Booker"
"309","1:11.0","","","89-48","","D. Booker misses 2-pt jump shot from 12 ft (block by M. Kleber)"
"310","1:08.0","","","89-48","","Offensive rebound by D. Booker"
"311","1:07.0","","","89-50","+2","D. Booker makes 2-pt layup from 2 ft"
"312","0:48.0","S. Dinwiddie makes 3-pt jump shot from 25 ft","+3","92-50","",""
"313","0:32.0","","","92-50","","C. Payne misses 2-pt layup from 2 ft"
"314","0:29.0","","","92-50","","Offensive rebound by B. Biyombo"
"315","0:17.0","","","92-50","","Turnover by D. Booker (bad pass; steal by S. Dinwiddie)"
"316","0:01.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","92-50","",""
"317","0:01.0","Offensive rebound by Team","","92-50","",""
"318","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"319","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"320","Time","Dallas","","Score","","Phoenix"
"321","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"322","11:47.0","Personal foul by D. Booker (drawn by S. Dinwiddie)","","92-50","",""
"323","11:40.0","D. Bertans misses 3-pt jump shot from 25 ft","","92-50","",""
"324","11:36.0","","","92-50","","Defensive rebound by J. McGee"
"325","11:28.0","","","92-52","+2","J. McGee makes 2-pt dunk at rim (assist by C. Paul)"
"326","11:11.0","F. Ntilikina makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie)","+3","95-52","",""
"327","10:58.0","","","95-55","+3","L. Shamet makes 3-pt jump shot from 25 ft (assist by C. Paul)"
"328","10:38.0","D. Powell makes 2-pt dunk from 1 ft (assist by D. Bertans)","+2","97-55","",""
"329","10:23.0","","","97-57","+2","C. Paul makes 2-pt layup from 3 ft"
"330","10:00.0","J. Brunson makes 2-pt jump shot from 17 ft (assist by S. Dinwiddie)","+2","99-57","",""
"331","9:54.0","","","99-57","","Personal foul by F. Ntilikina (drawn by D. Booker)"
"332","9:47.0","","","99-57","","J. McGee misses 2-pt layup at rim (block by D. Powell)"
"333","9:47.0","Defensive rebound by Team","","99-57","",""
"334","9:47.0","Jump ball: D. Powell vs. J. McGee (F. Ntilikina gains possession)","Jump ball: D. Powell vs. J. McGee (F. Ntilikina gains possession)","Jump ball: D. Powell vs. J. McGee (F. Ntilikina gains possession)","Jump ball: D. Powell vs. J. McGee (F. Ntilikina gains possession)","Jump ball: D. Powell vs. J. McGee (F. Ntilikina gains possession)"
"335","9:33.0","J. Brunson makes 2-pt jump shot from 6 ft","+2","101-57","",""
"336","9:22.0","","","101-59","+2","C. Paul makes 2-pt jump shot from 8 ft"
"337","9:08.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","103-59","",""
"338","8:58.0","","","103-62","+3","L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Booker)"
"339","8:37.0","J. Brunson makes 2-pt layup from 3 ft","+2","105-62","",""
"340","8:32.0","","","105-62","","D. Booker misses 3-pt jump shot from 28 ft"
"341","8:28.0","Defensive rebound by D. Bertans","","105-62","",""
"342","8:08.0","F. Ntilikina misses 3-pt jump shot from 26 ft","","105-62","",""
"343","8:08.0","","","105-62","","Defensive rebound by Team"
