"","Time","Dallas","","Score","","Phoenix"
"67","1:29.0","D. Bertans enters the game for R. Bullock","","24-21","",""
"68","1:29.0","","","24-22","+1","D. Booker makes free throw 2 of 2"
"69","1:09.0","Shooting foul by B. Biyombo (drawn by S. Dinwiddie)","","24-22","",""
"70","1:09.0","S. Dinwiddie makes free throw 1 of 2","+1","25-22","",""
"71","1:09.0","F. Ntilikina enters the game for D. Finney-Smith","","25-22","",""
"72","1:09.0","S. Dinwiddie makes free throw 2 of 2","+1","26-22","",""
"73","0:55.0","","","26-22","","Shooting foul by F. Ntilikina (drawn by C. Johnson)"
"74","0:55.0","","","26-23","+1","C. Johnson makes free throw 1 of 2"
"75","0:55.0","","","26-23","","C. Johnson misses free throw 2 of 2"
"76","0:54.0","Defensive rebound by L. Doncic","","26-23","",""
"77","0:41.0","L. Doncic misses 2-pt layup from 5 ft","","26-23","",""
"78","0:39.0","","","26-23","","Defensive rebound by B. Biyombo"
"79","0:32.0","","","26-23","","L. Shamet misses 3-pt jump shot from 23 ft"
"80","0:30.0","","","26-23","","Offensive rebound by M. Bridges"
"81","0:28.0","","","26-23","","D. Booker misses 3-pt jump shot from 25 ft"
"82","0:26.0","","","26-23","","Offensive rebound by D. Booker"
"83","0:23.0","","","26-23","","M. Bridges misses 3-pt jump shot from 22 ft"
"84","0:21.0","Defensive rebound by S. Dinwiddie","","26-23","",""
"85","0:01.0","L. Doncic misses 2-pt jump shot from 16 ft","","26-23","",""
"86","0:00.0","Offensive rebound by Team","","26-23","",""
"87","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"88","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"89","Time","Dallas","","Score","","Phoenix"
"90","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"91","11:44.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","26-23","",""
"92","11:41.0","","","26-23","","Defensive rebound by J. McGee"
"93","11:18.0","","","26-23","","J. McGee misses 2-pt jump shot from 17 ft"
"94","11:16.0","","","26-23","","Offensive rebound by C. Johnson"
"95","11:14.0","","","26-25","+2","C. Johnson makes 2-pt jump shot from 9 ft"
"96","11:01.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","26-25","",""
"97","10:59.0","","","26-25","","Defensive rebound by J. Crowder"
"98","10:41.0","","","26-25","","Offensive foul by J. McGee (drawn by J. Brunson)"
"99","10:41.0","","","26-25","","Turnover by J. McGee (offensive foul)"
"100","10:25.0","J. Brunson makes 2-pt jump shot from 20 ft","+2","28-25","",""
"101","10:07.0","","","28-25","","C. Johnson misses 3-pt jump shot from 27 ft"
"102","10:02.0","Defensive rebound by D. Bertans","","28-25","",""
"103","9:51.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","30-25","",""
"104","9:33.0","","","30-28","+3","J. Crowder makes 3-pt jump shot from 26 ft (assist by L. Shamet)"
"105","9:21.0","J. Brunson misses 2-pt jump shot from 13 ft","","30-28","",""
"106","9:19.0","","","30-28","","Defensive rebound by J. McGee"
"107","9:09.0","","","30-28","","J. Crowder misses 3-pt jump shot from 26 ft"
"108","9:05.0","Defensive rebound by J. Brunson","","30-28","",""
"109","8:58.0","Turnover by S. Dinwiddie (bad pass; steal by C. Johnson)","","30-28","",""
"110","8:58.0","","","30-28","","Personal take foul by D. Bertans (drawn by C. Paul)"
"111","8:45.0","","","30-28","","J. Crowder misses 3-pt jump shot from 27 ft"
"112","8:42.0","Defensive rebound by R. Bullock","","30-28","",""
"113","8:38.0","Personal foul by J. McGee (drawn by D. Bertans)","","30-28","",""
"114","8:38.0","Instant Replay","","30-28","",""
"115","8:38.0","","","30-28","","D. Ayton enters the game for J. McGee"
"116","8:30.0","D. Bertans makes 3-pt jump shot from 25 ft (assist by J. Brunson)","+3","33-28","",""
"117","8:16.0","","","33-30","+2","C. Paul makes 2-pt jump shot from 18 ft"
"118","8:04.0","D. Bertans makes 3-pt jump shot from 29 ft (assist by S. Dinwiddie)","+3","36-30","",""
"119","8:04.0","Shooting foul by J. Crowder (drawn by D. Bertans)","","36-30","",""
"120","8:04.0","D. Bertans makes free throw 1 of 1","+1","37-30","",""
"121","7:53.0","","","37-30","","Personal foul by J. Brunson (drawn by L. Shamet)"
"122","7:53.0","M. Kleber enters the game for S. Dinwiddie","","37-30","",""
"123","7:42.0","","","37-30","","C. Paul misses 2-pt jump shot from 13 ft"
"124","7:40.0","Defensive rebound by M. Kleber","","37-30","",""
"125","7:24.0","Shooting foul by C. Paul (drawn by J. Brunson)","","37-30","",""
"126","7:24.0","J. Brunson misses free throw 1 of 2","","37-30","",""
"127","7:24.0","Offensive rebound by Team","","37-30","",""
"128","7:24.0","","","37-30","","D. Booker enters the game for L. Shamet"
"129","7:24.0","J. Brunson makes free throw 2 of 2","+1","38-30","",""
"130","7:10.0","","","38-32","+2","D. Ayton makes 2-pt hook shot from 8 ft (assist by C. Paul)"
"131","6:55.0","J. Brunson misses 2-pt jump shot from 16 ft","","38-32","",""
"132","6:51.0","","","38-32","","Defensive rebound by D. Ayton"
"133","6:44.0","","","38-32","","Shooting foul by M. Kleber (drawn by D. Ayton)"
"134","6:44.0","","","38-32","","Phoenix full timeout"
"135","6:44.0","L. Doncic enters the game for D. Bertans","","38-32","",""
"136","6:44.0","","","38-32","","M. Bridges enters the game for C. Johnson"
"137","6:44.0","","","38-33","+1","D. Ayton makes free throw 1 of 2"
"138","6:44.0","","","38-34","+1","D. Ayton makes free throw 2 of 2"
"139","6:28.0","M. Kleber misses 3-pt jump shot from 26 ft","","38-34","",""
"140","6:26.0","","","38-34","","Defensive rebound by J. Crowder"
"141","6:14.0","","","38-36","+2","D. Booker makes 2-pt jump shot from 13 ft"
"142","5:49.0","L. Doncic misses 2-pt layup from 1 ft","","38-36","",""
"143","5:44.0","Offensive rebound by L. Doncic","","38-36","",""
"144","5:42.0","L. Doncic makes 2-pt jump shot from 12 ft","+2","40-36","",""
"145","5:32.0","","","40-36","","D. Ayton misses 2-pt hook shot from 7 ft"
"146","5:31.0","Defensive rebound by M. Kleber","","40-36","",""
"147","5:25.0","Personal foul by J. Crowder (drawn by L. Doncic)","","40-36","",""
"148","5:25.0","","","40-36","","C. Johnson enters the game for J. Crowder"
"149","5:08.0","M. Kleber misses 3-pt jump shot from 31 ft","","40-36","",""
"150","5:06.0","","","40-36","","Defensive rebound by D. Booker"
"151","5:00.0","","","40-36","","D. Booker misses 2-pt jump shot from 16 ft"
"152","4:57.0","Defensive rebound by L. Doncic","","40-36","",""
"153","4:44.0","L. Doncic misses 3-pt jump shot from 26 ft","","40-36","",""
"154","4:40.0","Offensive rebound by D. Finney-Smith","","40-36","",""
"155","4:36.0","R. Bullock misses 2-pt jump shot from 5 ft","","40-36","",""
"156","4:33.0","Offensive rebound by R. Bullock","","40-36","",""
"157","4:33.0","R. Bullock misses 2-pt layup from 6 ft","","40-36","",""
"158","4:31.0","","","40-36","","Defensive rebound by C. Paul"
"159","4:24.0","","","40-38","+2","M. Bridges makes 2-pt jump shot from 5 ft (assist by C. Paul)"
"160","4:09.0","R. Bullock misses 3-pt jump shot from 23 ft","","40-38","",""
"161","4:06.0","","","40-38","","Defensive rebound by D. Ayton"
"162","4:01.0","","","40-38","","M. Bridges misses 2-pt layup from 2 ft"
"163","3:59.0","Defensive rebound by M. Kleber","","40-38","",""
"164","3:53.0","L. Doncic misses 2-pt layup from 2 ft (block by C. Johnson)","","40-38","",""
"165","3:53.0","","","40-38","","Defensive rebound by D. Ayton"
"166","3:47.0","","","40-40","+2","D. Booker makes 2-pt dunk from 1 ft (assist by C. Paul)"
"167","3:47.0","Dallas full timeout","","40-40","",""
"168","3:47.0","S. Dinwiddie enters the game for J. Brunson","","40-40","",""
"169","3:47.0","F. Ntilikina enters the game for D. Finney-Smith","","40-40","",""
"170","3:47.0","","","40-40","","L. Shamet enters the game for C. Paul"
"171","3:33.0","L. Doncic makes 2-pt layup from 1 ft","+2","42-40","",""
"172","3:12.0","","","42-42","+2","D. Ayton makes 2-pt layup from 2 ft"
"173","2:52.0","L. Doncic misses 2-pt jump shot from 17 ft","","42-42","",""
"174","2:49.0","","","42-42","","Defensive rebound by D. Ayton"
"175","2:32.0","","","42-42","","C. Johnson misses 3-pt jump shot from 26 ft"
"176","2:30.0","Defensive rebound by L. Doncic","","42-42","",""
"177","2:19.0","Turnover by L. Doncic (bad pass; steal by M. Bridges)","","42-42","",""
"178","2:15.0","","","42-44","+2","M. Bridges makes 2-pt layup from 1 ft"
"179","2:02.0","L. Doncic makes 2-pt jump shot from 12 ft","+2","44-44","",""
"180","2:02.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","44-44","",""
"181","2:02.0","L. Doncic makes free throw 1 of 1","+1","45-44","",""
"182","1:55.0","","","45-44","","Personal foul by F. Ntilikina (drawn by L. Shamet)"
"183","1:48.0","","","45-47","+3","C. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker)"
"184","1:29.0","M. Kleber misses 2-pt hook shot from 6 ft","","45-47","",""
"185","1:27.0","","","45-47","","Defensive rebound by D. Ayton"
"186","1:10.0","","","45-47","","D. Ayton misses 2-pt hook shot from 6 ft"
"187","1:08.0","","","45-47","","Offensive rebound by D. Ayton"
"188","1:07.0","","","45-47","","D. Ayton misses 2-pt layup from 5 ft"
"189","1:07.0","Defensive rebound by R. Bullock","","45-47","",""
"190","1:01.0","Personal foul by D. Booker (drawn by M. Kleber)","","45-47","",""
"191","1:01.0","M. Kleber makes free throw 1 of 2","+1","46-47","",""
"192","1:01.0","D. Finney-Smith enters the game for F. Ntilikina","","46-47","",""
"193","1:01.0","","","46-47","","B. Biyombo enters the game for D. Ayton"
"194","1:01.0","","","46-47","","C. Paul enters the game for L. Shamet"
"195","1:01.0","M. Kleber misses free throw 2 of 2","","46-47","",""
"196","0:59.0","","","46-47","","Defensive rebound by B. Biyombo"
"197","0:37.0","","","46-49","+2","C. Paul makes 2-pt jump shot from 23 ft"
"198","0:22.0","S. Dinwiddie misses 2-pt jump shot from 7 ft","","46-49","",""
"199","0:21.0","Offensive rebound by D. Finney-Smith","","46-49","",""
"200","0:20.0","D. Finney-Smith misses 2-pt layup from 1 ft","","46-49","",""
"201","0:19.0","","","46-49","","Defensive rebound by M. Bridges"
"202","0:01.0","","","46-49","","M. Bridges misses 2-pt jump shot from 9 ft"
"203","0:01.0","","","46-49","","Offensive rebound by B. Biyombo"
"204","0:00.0","","","46-49","","B. Biyombo misses 2-pt layup at rim"
"205","0:00.0","","","46-49","","Offensive rebound by Team"
"206","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"207","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"208","Time","Dallas","","Score","","Phoenix"
"209","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"210","11:42.0","Turnover by L. Doncic (out of bounds lost ball)","","46-49","",""
"211","11:21.0","","","46-49","","J. Crowder misses 3-pt jump shot from 26 ft"
"212","11:16.0","Defensive rebound by D. Powell","","46-49","",""
"213","11:02.0","L. Doncic makes 2-pt jump shot from 19 ft","+2","48-49","",""
"214","10:52.0","","","48-49","","Personal foul by D. Finney-Smith (drawn by D. Booker)"
"215","10:46.0","","","48-51","+2","D. Booker makes 2-pt layup from 3 ft"
"216","10:27.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","50-51","",""
"217","10:19.0","","","50-54","+3","D. Booker makes 3-pt jump shot from 25 ft"
"218","10:00.0","Turnover by J. Brunson (bad pass)","","50-54","",""
"219","9:44.0","","","50-54","","M. Bridges misses 3-pt jump shot from 24 ft"
"220","9:42.0","","","50-54","","Offensive rebound by D. Ayton"
"221","9:41.0","","","50-56","+2","D. Ayton makes 2-pt layup from 3 ft"
"222","9:28.0","Personal foul by M. Bridges (drawn by L. Doncic)","","50-56","",""
"223","9:17.0","J. Brunson misses 3-pt jump shot from 24 ft","","50-56","",""
"224","9:15.0","","","50-56","","Defensive rebound by J. Crowder"
"225","9:06.0","","","50-56","","J. Crowder misses 2-pt jump shot from 10 ft"
"226","9:04.0","","","50-56","","Offensive rebound by D. Ayton"
"227","9:04.0","","","50-58","+2","D. Ayton makes 2-pt layup from 1 ft"
"228","8:53.0","Turnover by J. Brunson (bad pass; steal by M. Bridges)","","50-58","",""
"229","8:47.0","","","50-61","+3","D. Booker makes 3-pt jump shot from 27 ft"
"230","8:47.0","Dallas full timeout","","50-61","",""
"231","8:47.0","M. Kleber enters the game for D. Powell","","50-61","",""
"232","8:21.0","M. Kleber misses 3-pt jump shot from 28 ft","","50-61","",""
"233","8:19.0","","","50-61","","Defensive rebound by J. Crowder"
"234","8:07.0","","","50-61","","D. Booker misses 3-pt jump shot from 25 ft"
"235","8:05.0","Defensive rebound by J. Brunson","","50-61","",""
"236","7:56.0","Offensive foul by J. Brunson (drawn by C. Paul)","","50-61","",""
"237","7:56.0","Turnover by J. Brunson (offensive foul)","","50-61","",""
"238","7:56.0","Dallas full timeout","","50-61","",""
"239","7:56.0","Instant Replay (Challenge: Stands)","","50-61","",""
"240","7:42.0","","","50-63","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by C. Paul)"
"241","7:29.0","L. Doncic misses 3-pt jump shot from 26 ft","","50-63","",""
"242","7:27.0","","","50-63","","Defensive rebound by D. Booker"
"243","7:10.0","","","50-63","","C. Paul misses 3-pt jump shot from 26 ft"
"244","7:08.0","Defensive rebound by L. Doncic","","50-63","",""
"245","7:04.0","Personal foul by J. Crowder (drawn by J. Brunson)","","50-63","",""
"246","7:04.0","","","50-63","","C. Johnson enters the game for J. Crowder"
"247","6:48.0","J. Brunson misses 2-pt jump shot from 12 ft","","50-63","",""
"248","6:46.0","","","50-63","","Defensive rebound by M. Bridges"
"249","6:38.0","","","50-65","+2","M. Bridges makes 2-pt jump shot from 10 ft (assist by C. Paul)"
"250","6:21.0","Turnover by L. Doncic (bad pass; steal by M. Bridges)","","50-65","",""
"251","6:16.0","","","50-65","","D. Booker misses 3-pt jump shot from 25 ft"
"252","6:09.0","Defensive rebound by J. Brunson","","50-65","",""
"253","6:01.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","50-65","",""
"254","5:58.0","","","50-65","","Defensive rebound by C. Paul"
"255","5:52.0","","","50-67","+2","D. Ayton makes 2-pt jump shot from 12 ft (assist by C. Johnson)"
"256","5:29.0","Turnover by D. Finney-Smith (bad pass; steal by C. Paul)","","50-67","",""
"257","5:25.0","","","50-67","","Flagrant foul type 1 by D. Finney-Smith (drawn by D. Booker)"
"258","5:25.0","","","50-67","","Instant Replay"
"259","5:25.0","","","50-68","+1","D. Booker makes flagrant free throw 1 of 2"
"260","5:25.0","","","50-68","","Offensive rebound by Team"
"261","5:25.0","","","50-68","","D. Booker misses flagrant free throw 2 of 2"
"262","5:25.0","D. Bertans enters the game for J. Brunson","","50-68","",""
"263","5:25.0","S. Dinwiddie enters the game for D. Finney-Smith","","50-68","",""
"264","5:14.0","","","50-68","","D. Ayton misses 2-pt jump shot from 8 ft"
"265","5:12.0","Defensive rebound by M. Kleber","","50-68","",""
"266","5:02.0","Shooting foul by D. Ayton (drawn by L. Doncic)","","50-68","",""
"267","5:02.0","L. Doncic misses free throw 1 of 2","","50-68","",""
"268","5:02.0","Offensive rebound by Team","","50-68","",""
"269","5:02.0","","","50-68","","B. Biyombo enters the game for D. Ayton"
"270","5:02.0","L. Doncic makes free throw 2 of 2","+1","51-68","",""
"271","4:46.0","","","51-68","","Turnover by C. Johnson (out of bounds lost ball)"
"272","4:36.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","54-68","",""
"273","4:23.0","","","54-68","","D. Booker misses 2-pt jump shot from 16 ft"
"274","4:21.0","Defensive rebound by L. Doncic","","54-68","",""
"275","4:16.0","Turnover by S. Dinwiddie (out of bounds lost ball)","","54-68","",""
"276","4:16.0","","","54-68","","L. Shamet enters the game for C. Paul"
"277","3:58.0","","","54-68","","Turnover by D. Booker (bad pass; steal by L. Doncic)"
"278","3:53.0","D. Bertans misses 3-pt jump shot from 27 ft","","54-68","",""
"279","3:49.0","Offensive rebound by M. Kleber","","54-68","",""
"280","3:49.0","Turnover by M. Kleber (bad pass; steal by D. Booker)","","54-68","",""
"281","3:49.0","","","54-68","","Personal take foul by S. Dinwiddie (drawn by D. Booker)"
"282","3:36.0","","","54-70","+2","C. Johnson makes 2-pt jump shot from 17 ft (assist by L. Shamet)"
"283","3:30.0","Offensive foul by M. Kleber (drawn by C. Johnson)","","54-70","",""
"284","3:30.0","Turnover by M. Kleber (offensive foul)","","54-70","",""
"285","3:20.0","","","54-72","+2","M. Bridges makes 2-pt jump shot from 11 ft (assist by L. Shamet)"
"286","3:09.0","L. Doncic misses 3-pt jump shot from 27 ft","","54-72","",""
"287","3:06.0","","","54-72","","Defensive rebound by D. Booker"
"288","2:58.0","","","54-72","","D. Booker misses 2-pt jump shot from 12 ft"
"289","2:56.0","Defensive rebound by R. Bullock","","54-72","",""
"290","2:56.0","Turnover by R. Bullock (bad pass; steal by L. Shamet)","","54-72","",""
"291","2:56.0","","","54-72","","Shooting foul by M. Kleber (drawn by L. Shamet)"
"292","2:56.0","","","54-72","","L. Shamet misses free throw 1 of 2"
"293","2:56.0","","","54-72","","Offensive rebound by Team"
"294","2:56.0","J. Brunson enters the game for R. Bullock","","54-72","",""
"295","2:56.0","D. Finney-Smith enters the game for L. Doncic","","54-72","",""
"296","2:56.0","","","54-73","+1","L. Shamet makes free throw 2 of 2"
"297","2:37.0","S. Dinwiddie misses 3-pt jump shot from 25 ft","","54-73","",""
"298","2:35.0","","","54-73","","Defensive rebound by L. Shamet"
"299","2:26.0","","","54-73","","Shooting foul by S. Dinwiddie (drawn by L. Shamet)"
"300","2:26.0","","","54-74","+1","L. Shamet makes free throw 1 of 2"
"301","2:26.0","","","54-75","+1","L. Shamet makes free throw 2 of 2"
"302","2:10.0","Turnover by S. Dinwiddie (bad pass; steal by D. Booker)","","54-75","",""
"303","2:03.0","","","54-78","+3","D. Booker makes 3-pt jump shot from 25 ft"
"304","1:40.0","J. Brunson makes 2-pt layup from 1 ft (assist by D. Finney-Smith)","+2","56-78","",""
"305","1:29.0","","","56-80","+2","L. Shamet makes 2-pt jump shot from 14 ft"
"306","1:12.0","J. Brunson makes 2-pt jump shot from 4 ft","+2","58-80","",""
"307","0:45.0","","","58-80","","M. Bridges misses 2-pt layup from 2 ft"
"308","0:43.0","Defensive rebound by D. Finney-Smith","","58-80","",""
"309","0:34.0","J. Brunson makes 2-pt jump shot from 18 ft","+2","60-80","",""
"310","0:29.0","","","60-80","","L. Shamet misses 3-pt jump shot from 25 ft"
"311","0:26.0","Defensive rebound by J. Brunson","","60-80","",""
"312","0:12.0","Turnover by J. Brunson (bad pass; steal by M. Bridges)","","60-80","",""
"313","0:09.0","","","60-82","+2","C. Johnson makes 2-pt dunk from 1 ft (assist by M. Bridges)"
"314","0:01.0","J. Brunson misses 2-pt layup from 2 ft","","60-82","",""
"315","0:01.0","","","60-82","","Defensive rebound by M. Bridges"
"316","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"317","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"318","Time","Dallas","","Score","","Phoenix"
"319","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"320","11:40.0","","","60-82","","L. Shamet misses 2-pt jump shot from 15 ft"
"321","11:35.0","","","60-82","","Offensive rebound by I. Wainright"
"322","11:23.0","","","60-84","+2","C. Johnson makes 2-pt jump shot from 16 ft (assist by I. Wainright)"
"323","11:12.0","Shooting foul by L. Shamet (drawn by J. Brunson)","","60-84","",""
"324","11:12.0","J. Brunson misses free throw 1 of 2","","60-84","",""
"325","11:12.0","Offensive rebound by Team","","60-84","",""
"326","11:12.0","J. Brunson misses free throw 2 of 2","","60-84","",""
"327","11:10.0","","","60-84","","Defensive rebound by C. Johnson"
"328","10:57.0","","","60-84","","I. Wainright misses 3-pt jump shot from 23 ft"
"329","10:55.0","Defensive rebound by J. Brunson","","60-84","",""
"330","10:51.0","J. Brunson makes 2-pt layup from 3 ft","+2","62-84","",""
"331","10:40.0","","","62-86","+2","B. Biyombo makes 2-pt layup from 2 ft (assist by L. Shamet)"
"332","10:33.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","62-86","",""
"333","10:33.0","L. Doncic makes free throw 1 of 2","+1","63-86","",""
"334","10:33.0","L. Doncic makes free throw 2 of 2","+1","64-86","",""
"335","10:14.0","","","64-86","","Turnover by C. Paul (bad pass; steal by R. Bullock)"
"336","10:12.0","Personal foul by C. Paul (drawn by L. Doncic)","","64-86","",""
"337","10:01.0","L. Doncic makes 2-pt layup from 2 ft","+2","66-86","",""
"338","9:42.0","","","66-86","","Shooting foul by L. Doncic (drawn by B. Biyombo)"
"339","9:42.0","","","66-87","+1","B. Biyombo makes free throw 1 of 2"
"340","9:42.0","","","66-87","","J. Crowder enters the game for I. Wainright"
"341","9:42.0","","","66-87","","B. Biyombo misses free throw 2 of 2"
"342","9:40.0","Defensive rebound by L. Doncic","","66-87","",""
"343","9:32.0","Offensive foul by L. Doncic (drawn by C. Paul)","","66-87","",""
"344","9:32.0","Turnover by L. Doncic (offensive foul)","","66-87","",""
"345","9:19.0","","","66-87","","C. Paul misses 2-pt jump shot from 6 ft"
"346","9:18.0","","","66-87","","Offensive rebound by Team"
"347","9:18.0","Loose ball foul by R. Bullock (drawn by B. Biyombo)","","66-87","",""
"348","9:10.0","","","66-87","","Turnover by B. Biyombo (bad pass; steal by R. Bullock)"
"349","9:04.0","D. Finney-Smith misses 3-pt jump shot from 23 ft","","66-87","",""
"350","9:03.0","","","66-87","","Defensive rebound by L. Shamet"
"351","8:51.0","","","66-87","","Personal take foul by J. Brunson (drawn by J. Crowder)"
"352","8:51.0","F. Ntilikina enters the game for R. Bullock","","66-87","",""
"353","8:40.0","","","66-90","+3","L. Shamet makes 3-pt jump shot from 26 ft (assist by C. Paul)"
