"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Jump ball: D. Powell vs. D. Ayton (M. Bridges gains possession)","Jump ball: D. Powell vs. D. Ayton (M. Bridges gains possession)","Jump ball: D. Powell vs. D. Ayton (M. Bridges gains possession)","Jump ball: D. Powell vs. D. Ayton (M. Bridges gains possession)","Jump ball: D. Powell vs. D. Ayton (M. Bridges gains possession)"
"3","11:39.0","","","0-0","","Offensive foul by D. Ayton (drawn by D. Powell)"
"4","11:39.0","","","0-0","","Turnover by D. Ayton (offensive foul)"
"5","11:19.0","R. Bullock misses 3-pt jump shot from 27 ft","","0-0","",""
"6","11:16.0","","","0-0","","Defensive rebound by M. Bridges"
"7","11:04.0","","","0-0","","D. Booker misses 2-pt jump shot from 13 ft"
"8","11:02.0","Defensive rebound by J. Brunson","","0-0","",""
"9","10:50.0","L. Doncic makes 2-pt jump shot from 6 ft","+2","2-0","",""
"10","10:34.0","","","2-3","+3","M. Bridges makes 3-pt jump shot from 26 ft (assist by J. Crowder)"
"11","10:11.0","J. Brunson makes 2-pt jump shot from 7 ft","+2","4-3","",""
"12","9:57.0","","","4-3","","M. Bridges misses 3-pt jump shot from 25 ft"
"13","9:57.0","Defensive rebound by L. Doncic","","4-3","",""
"14","9:36.0","L. Doncic makes 3-pt jump shot from 24 ft","+3","7-3","",""
"15","9:22.0","","","7-3","","Turnover by C. Paul (bad pass; steal by J. Brunson)"
"16","9:16.0","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","10-3","",""
"17","8:59.0","","","10-5","+2","D. Ayton makes 2-pt jump shot from 11 ft (assist by C. Paul)"
"18","8:40.0","R. Bullock misses 3-pt jump shot from 24 ft","","10-5","",""
"19","8:39.0","","","10-5","","Defensive rebound by D. Booker"
"20","8:39.0","","","10-5","","Personal foul by D. Powell (drawn by D. Booker)"
"21","8:29.0","","","10-5","","Personal foul by D. Powell (drawn by C. Paul)"
"22","8:22.0","","","10-7","+2","D. Booker makes 2-pt jump shot from 15 ft (assist by D. Ayton)"
"23","8:03.0","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by R. Bullock)","+3","13-7","",""
"24","7:51.0","","","13-9","+2","D. Booker makes 2-pt jump shot from 8 ft (assist by C. Paul)"
"25","7:39.0","Personal foul by D. Ayton (drawn by J. Brunson)","","13-9","",""
"26","7:39.0","M. Kleber enters the game for D. Powell","","13-9","",""
"27","7:24.0","L. Doncic makes 2-pt jump shot from 11 ft","+2","15-9","",""
"28","7:06.0","","","15-9","","D. Booker misses 2-pt jump shot from 18 ft"
"29","7:04.0","Defensive rebound by L. Doncic","","15-9","",""
"30","6:59.0","","","15-9","","Phoenix full timeout"
"31","6:59.0","","","15-9","","B. Biyombo enters the game for D. Ayton"
"32","6:43.0","L. Doncic misses 3-pt jump shot from 26 ft","","15-9","",""
"33","6:43.0","Offensive rebound by Team","","15-9","",""
"34","6:43.0","Turnover by Team (shot clock)","","15-9","",""
"35","6:30.0","","","15-11","+2","D. Booker makes 2-pt jump shot from 13 ft (assist by B. Biyombo)"
"36","6:09.0","J. Brunson makes 2-pt layup from 3 ft","+2","17-11","",""
"37","5:49.0","","","17-13","+2","D. Booker makes 2-pt jump shot from 6 ft"
"38","5:30.0","Shooting foul by J. Crowder (drawn by L. Doncic)","","17-13","",""
"39","5:30.0","L. Doncic makes free throw 1 of 2","+1","18-13","",""
"40","5:30.0","L. Doncic makes free throw 2 of 2","+1","19-13","",""
"41","5:17.0","","","19-13","","Personal foul by L. Doncic (drawn by J. Crowder)"
"42","5:08.0","","","19-13","","J. Crowder misses 3-pt jump shot from 26 ft"
"43","5:05.0","Defensive rebound by M. Kleber","","19-13","",""
"44","4:47.0","L. Doncic misses 2-pt jump shot from 15 ft","","19-13","",""
"45","4:45.0","","","19-13","","Defensive rebound by D. Booker"
"46","4:43.0","","","19-13","","Turnover by D. Booker (out of bounds lost ball)"
"47","4:19.0","L. Doncic makes 2-pt jump shot from 18 ft (assist by D. Finney-Smith)","+2","21-13","",""
"48","4:03.0","","","21-16","+3","M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Crowder)"
"49","3:35.0","M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","24-16","",""
"50","3:15.0","","","24-16","","M. Bridges misses 2-pt jump shot from 16 ft"
"51","3:13.0","","","24-16","","Offensive rebound by J. Crowder"
"52","3:11.0","","","24-16","","C. Paul misses 3-pt jump shot from 25 ft"
"53","3:07.0","Defensive rebound by L. Doncic","","24-16","",""
"54","2:52.0","J. Brunson misses 2-pt jump shot from 12 ft","","24-16","",""
"55","2:51.0","","","24-16","","Defensive rebound by M. Bridges"
"56","2:44.0","","","24-18","+2","B. Biyombo makes 2-pt dunk from 1 ft (assist by C. Paul)"
"57","2:17.0","Dallas full timeout","","24-18","",""
"58","2:17.0","S. Dinwiddie enters the game for J. Brunson","","24-18","",""
"59","2:17.0","","","24-18","","C. Johnson enters the game for J. Crowder"
"60","2:17.0","","","24-18","","L. Shamet enters the game for C. Paul"
"61","2:14.0","Turnover by Team (shot clock)","","24-18","",""
"62","2:02.0","","","24-20","+2","D. Booker makes 2-pt jump shot from 10 ft"
"63","1:41.0","L. Doncic misses 3-pt jump shot from 27 ft","","24-20","",""
"64","1:39.0","","","24-20","","Defensive rebound by M. Bridges"
"65","1:29.0","","","24-20","","Shooting foul by M. Kleber (drawn by D. Booker)"
"66","1:29.0","","","24-21","+1","D. Booker makes free throw 1 of 2"
