"","Time","Phoenix","","Score","","Dallas"
"196","2:04.0","","","43-52","","Dallas full timeout"
"197","1:51.0","C. Paul misses 3-pt jump shot from 31 ft","","43-52","",""
"198","1:48.0","","","43-52","","Defensive rebound by L. Doncic"
"199","1:26.0","","","43-54","+2","R. Bullock makes 2-pt layup from 1 ft (assist by L. Doncic)"
"200","1:01.0","D. Booker misses 2-pt jump shot from 15 ft","","43-54","",""
"201","0:59.0","","","43-54","","Defensive rebound by L. Doncic"
"202","0:50.0","","","43-54","","L. Doncic misses 2-pt jump shot from 7 ft"
"203","0:48.0","","","43-54","","Offensive rebound by D. Finney-Smith"
"204","0:37.0","","","43-57","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"205","0:30.0","Turnover by C. Paul (bad pass; steal by R. Bullock)","","43-57","",""
"206","0:24.0","","","43-60","+3","R. Bullock makes 3-pt jump shot from 24 ft"
"207","0:01.0","Personal foul by D. Finney-Smith (drawn by C. Johnson)","","43-60","",""
"208","0:01.0","C. Johnson makes free throw 1 of 2","+1","44-60","",""
"209","0:01.0","","","44-60","","D. Powell enters the game for D. Finney-Smith"
"210","0:01.0","C. Johnson makes free throw 2 of 2","+1","45-60","",""
"211","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"212","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"213","Time","Phoenix","","Score","","Dallas"
"214","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"215","11:42.0","D. Booker misses 3-pt jump shot from 26 ft","","45-60","",""
"216","11:39.0","","","45-60","","Defensive rebound by D. Finney-Smith"
"217","11:26.0","","","45-62","+2","D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic)"
"218","11:10.0","D. Ayton misses 2-pt jump shot from 2 ft (block by D. Powell)","","45-62","",""
"219","11:07.0","","","45-62","","Defensive rebound by D. Finney-Smith"
"220","11:01.0","","","45-62","","D. Finney-Smith misses 3-pt jump shot from 27 ft"
"221","10:59.0","Defensive rebound by Team","","45-62","",""
"222","10:50.0","M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Paul)","+3","48-62","",""
"223","10:34.0","","","48-62","","Shooting foul by J. Crowder (drawn by L. Doncic)"
"224","10:34.0","","","48-63","+1","L. Doncic makes free throw 1 of 2"
"225","10:34.0","","","48-64","+1","L. Doncic makes free throw 2 of 2"
"226","10:17.0","Turnover by M. Bridges (lost ball; steal by J. Brunson)","","48-64","",""
"227","9:59.0","","","48-64","","Shooting foul by C. Paul (drawn by L. Doncic)"
"228","9:59.0","","","48-65","+1","L. Doncic makes free throw 1 of 2"
"229","9:59.0","","","48-66","+1","L. Doncic makes free throw 2 of 2"
"230","9:41.0","D. Booker misses 3-pt jump shot from 25 ft","","48-66","",""
"231","9:37.0","","","48-66","","Defensive rebound by D. Powell"
"232","9:23.0","","","48-66","","J. Brunson misses 2-pt jump shot from 13 ft"
"233","9:22.0","Defensive rebound by D. Booker","","48-66","",""
"234","9:22.0","Personal foul by D. Powell (drawn by D. Booker)","","48-66","",""
"235","9:13.0","Offensive foul by D. Ayton (drawn by J. Brunson)","","48-66","",""
"236","9:13.0","Turnover by D. Ayton (offensive foul)","","48-66","",""
"237","8:51.0","","","48-68","+2","L. Doncic makes 2-pt layup from 3 ft"
"238","8:51.0","Violation by Team (def goaltending)","","48-68","",""
"239","8:39.0","Personal foul by D. Powell (drawn by D. Booker)","","48-68","",""
"240","8:37.0","D. Booker misses 2-pt layup from 5 ft","","48-68","",""
"241","8:35.0","Offensive rebound by C. Paul","","48-68","",""
"242","8:33.0","C. Paul misses 2-pt jump shot from 17 ft","","48-68","",""
"243","8:31.0","","","48-68","","Defensive rebound by L. Doncic"
"244","8:19.0","","","48-68","","L. Doncic misses 2-pt jump shot from 13 ft"
"245","8:17.0","Defensive rebound by D. Ayton","","48-68","",""
"246","8:08.0","D. Ayton misses 2-pt jump shot from 6 ft","","48-68","",""
"247","8:05.0","","","48-68","","Defensive rebound by D. Powell"
"248","7:55.0","","","48-68","","Personal foul by D. Ayton (drawn by D. Powell)"
"249","7:55.0","","","48-68","","M. Kleber enters the game for D. Powell"
"250","7:44.0","","","48-70","+2","J. Brunson makes 2-pt layup from 2 ft (assist by L. Doncic)"
"251","7:33.0","Shooting foul by D. Finney-Smith (drawn by C. Paul)","","48-70","",""
"252","7:33.0","C. Paul makes free throw 1 of 2","+1","49-70","",""
"253","7:33.0","","","49-70","","F. Ntilikina enters the game for D. Finney-Smith"
"254","7:33.0","C. Paul makes free throw 2 of 2","+1","50-70","",""
"255","7:10.0","","","50-70","","R. Bullock misses 3-pt jump shot from 26 ft"
"256","7:06.0","Defensive rebound by D. Ayton","","50-70","",""
"257","7:04.0","Personal foul by L. Doncic (drawn by C. Paul)","","50-70","",""
"258","6:57.0","D. Ayton makes 2-pt layup from 3 ft","+2","52-70","",""
"259","6:57.0","Shooting foul by R. Bullock (drawn by D. Ayton)","","52-70","",""
"260","6:57.0","","","52-70","","Dallas full timeout"
"261","6:57.0","D. Ayton misses free throw 1 of 1","","52-70","",""
"262","6:55.0","Offensive rebound by Team","","52-70","",""
"263","6:55.0","Away from play foul by L. Doncic (drawn by D. Booker)","","52-70","",""
"264","6:55.0","D. Booker makes free throw 1 of 1","+1","53-70","",""
"265","6:51.0","Turnover by M. Bridges (bad pass; steal by F. Ntilikina)","","53-70","",""
"266","6:36.0","","","53-72","+2","L. Doncic makes 2-pt dunk at rim (assist by M. Kleber)"
"267","6:12.0","D. Ayton makes 2-pt layup from 3 ft (assist by M. Bridges)","+2","55-72","",""
"268","5:50.0","","","55-75","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"269","5:30.0","D. Booker misses 2-pt jump shot from 12 ft (block by F. Ntilikina)","","55-75","",""
"270","5:28.0","Offensive rebound by M. Bridges","","55-75","",""
"271","5:23.0","D. Ayton makes 2-pt layup from 1 ft (assist by M. Bridges)","+2","57-75","",""
"272","5:18.0","","","57-75","","Personal foul by J. Crowder (drawn by L. Doncic)"
"273","5:11.0","","","57-77","+2","L. Doncic makes 2-pt dunk from 1 ft"
"274","5:10.0","Phoenix full timeout","","57-77","",""
"275","4:55.0","Turnover by C. Paul (out of bounds lost ball)","","57-77","",""
"276","4:33.0","","","57-77","","L. Doncic misses 2-pt jump shot from 4 ft"
"277","4:31.0","Defensive rebound by D. Ayton","","57-77","",""
"278","4:25.0","Shooting foul by M. Kleber (drawn by J. Crowder)","","57-77","",""
"279","4:25.0","J. Crowder makes free throw 1 of 2","+1","58-77","",""
"280","4:25.0","L. Shamet enters the game for C. Paul","","58-77","",""
"281","4:25.0","J. Crowder makes free throw 2 of 2","+1","59-77","",""
"282","4:13.0","","","59-80","+3","M. Kleber makes 3-pt jump shot from 26 ft (assist by J. Brunson)"
"283","4:01.0","D. Ayton makes 2-pt dunk from 3 ft (assist by L. Shamet)","+2","61-80","",""
"284","4:01.0","Shooting foul by L. Doncic (drawn by D. Ayton)","","61-80","",""
"285","4:01.0","Technical foul by D. Ayton","","61-80","",""
"286","4:01.0","Instant Replay (Request: Stands)","","61-80","",""
"287","4:01.0","","","61-80","","L. Doncic misses technical free throw"
"288","4:01.0","Defensive rebound by Team","","61-80","",""
"289","4:01.0","C. Johnson enters the game for J. Crowder","","61-80","",""
"290","4:01.0","","","61-80","","S. Dinwiddie enters the game for L. Doncic"
"291","4:01.0","D. Ayton makes free throw 1 of 1","+1","62-80","",""
"292","3:41.0","","","62-83","+3","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by M. Kleber)"
"293","3:30.0","D. Booker makes 2-pt layup from 1 ft","+2","64-83","",""
"294","3:20.0","","","64-83","","Shooting foul by L. Shamet (drawn by J. Brunson)"
"295","3:20.0","","","64-84","+1","J. Brunson makes free throw 1 of 2"
"296","3:20.0","T. Craig enters the game for M. Bridges","","64-84","",""
"297","3:20.0","","","64-85","+1","J. Brunson makes free throw 2 of 2"
"298","3:09.0","C. Johnson misses 3-pt jump shot from 23 ft","","64-85","",""
"299","3:07.0","Offensive rebound by D. Ayton","","64-85","",""
"300","3:01.0","D. Ayton makes 2-pt layup from 3 ft (assist by L. Shamet)","+2","66-85","",""
"301","2:43.0","","","66-85","","F. Ntilikina misses 3-pt jump shot from 25 ft"
"302","2:40.0","Defensive rebound by T. Craig","","66-85","",""
"303","2:35.0","Shooting foul by M. Kleber (drawn by D. Booker)","","66-85","",""
"304","2:35.0","D. Booker makes free throw 1 of 2","+1","67-85","",""
"305","2:35.0","B. Biyombo enters the game for D. Ayton","","67-85","",""
"306","2:35.0","","","67-85","","D. Powell enters the game for M. Kleber"
"307","2:35.0","D. Booker makes free throw 2 of 2","+1","68-85","",""
"308","2:20.0","","","68-87","+2","J. Brunson makes 2-pt jump shot from 5 ft"
"309","2:08.0","D. Booker misses 2-pt jump shot from 4 ft","","68-87","",""
"310","2:06.0","Offensive rebound by D. Booker","","68-87","",""
"311","2:05.0","Turnover by D. Booker (bad pass; steal by J. Brunson)","","68-87","",""
"312","1:59.0","","","68-90","+3","S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by F. Ntilikina)"
"313","1:45.0","L. Shamet misses 2-pt jump shot from 17 ft","","68-90","",""
"314","1:43.0","","","68-90","","Defensive rebound by R. Bullock"
"315","1:34.0","","","68-90","","J. Brunson misses 3-pt jump shot from 25 ft"
"316","1:32.0","Defensive rebound by D. Booker","","68-90","",""
"317","1:27.0","Offensive foul by D. Booker (drawn by J. Brunson)","","68-90","",""
"318","1:27.0","Turnover by D. Booker (offensive foul)","","68-90","",""
"319","1:12.0","","","68-90","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"320","1:10.0","Defensive rebound by D. Booker","","68-90","",""
"321","1:08.0","T. Craig makes 2-pt layup from 2 ft (assist by D. Booker)","+2","70-90","",""
"322","0:55.0","","","70-90","","Personal foul by T. Craig (drawn by D. Powell)"
"323","0:55.0","","","70-91","+1","D. Powell makes free throw 1 of 2"
"324","0:55.0","","","70-91","","D. Bertans enters the game for R. Bullock"
"325","0:55.0","","","70-92","+1","D. Powell makes free throw 2 of 2"
"326","0:44.0","Turnover by D. Booker (lost ball; steal by F. Ntilikina)","","70-92","",""
"327","0:41.0","","","70-92","","J. Brunson misses 2-pt layup from 2 ft (block by D. Booker)"
"328","0:41.0","","","70-92","","Offensive rebound by Team"
"329","0:38.0","","","70-92","","J. Brunson misses 3-pt jump shot from 25 ft"
"330","0:36.0","Defensive rebound by L. Shamet","","70-92","",""
"331","0:31.0","D. Booker makes 2-pt jump shot from 17 ft","+2","72-92","",""
"332","0:10.0","","","72-92","","Personal foul by B. Biyombo (drawn by J. Brunson)"
"333","0:10.0","","","72-93","+1","J. Brunson makes free throw 1 of 2"
"334","0:10.0","","","72-94","+1","J. Brunson makes free throw 2 of 2"
"335","0:00.0","T. Craig misses 3-pt jump shot from 26 ft","","72-94","",""
"336","0:00.0","Offensive rebound by Team","","72-94","",""
"337","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"338","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"339","Time","Phoenix","","Score","","Dallas"
"340","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"341","11:38.0","","","72-94","","D. Finney-Smith misses 2-pt jump shot from 13 ft"
"342","11:37.0","","","72-94","","Offensive rebound by D. Powell"
"343","11:36.0","","","72-94","","Turnover by Team (shot clock)"
"344","11:17.0","Shooting foul by D. Finney-Smith (drawn by D. Booker)","","72-94","",""
"345","11:17.0","D. Booker makes free throw 1 of 2","+1","73-94","",""
"346","11:17.0","","","73-94","","R. Bullock enters the game for D. Finney-Smith"
"347","11:17.0","","","73-94","","F. Ntilikina enters the game for D. Powell"
"348","11:17.0","D. Booker makes free throw 2 of 2","+1","74-94","",""
"349","10:59.0","","","74-94","","Turnover by L. Doncic (bad pass; steal by D. Booker)"
"350","10:56.0","D. Booker makes 2-pt layup from 1 ft","+2","76-94","",""
"351","10:33.0","","","76-94","","L. Doncic misses 2-pt jump shot from 18 ft"
"352","10:31.0","Defensive rebound by M. Bridges","","76-94","",""
